key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,27.507,left,2.173,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.728,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.408,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mountain_101.jpg,mountain_171.jpg,mountain_101.jpg,right,golf_course_102.jpg,mountain_101.jpg,badlands_152.jpg,playground_7.jpg,playground_7.jpg,playground_7.jpg,1,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,space,6.82,left,1.546,0,0,0,0,1,mountain_171.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_21.jpg,playground_219.jpg,right,highway_402.jpg,bridge_169.jpg,playground_219.jpg,mountain_26.jpg,mountain_26.jpg,mountain_26.jpg,2,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,right,1.006,0,1,1,1,1,playground_21.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,playground_145.jpg,playground_145.jpg,playground_242.jpg,left,playground_145.jpg,highway_112.jpg,mountain_292.jpg,bridge_182.jpg,bridge_182.jpg,bridge_182.jpg,0,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,left,3.177,0,2,2,2,1,playground_242.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_293.jpg,mountain_72.jpg,mountain_293.jpg,right,highway_331.jpg,bridge_64.jpg,mountain_293.jpg,golf_course_88.jpg,golf_course_88.jpg,golf_course_88.jpg,2,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,right,1.249,0,3,3,3,1,mountain_72.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_70.jpg,badlands_70.jpg,badlands_102.jpg,left,highway_18.jpg,badlands_70.jpg,golf_course_290.jpg,mountain_214.jpg,mountain_214.jpg,mountain_214.jpg,1,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,right,1.385,0,4,4,4,1,badlands_102.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_15.jpg,golf_course_97.jpg,golf_course_15.jpg,right,bridge_179.jpg,golf_course_15.jpg,badlands_89.jpg,mountain_91.jpg,mountain_91.jpg,mountain_91.jpg,1,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,left,1.559,0,5,5,5,1,golf_course_97.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_195.jpg,golf_course_195.jpg,golf_course_25.jpg,left,golf_course_195.jpg,badlands_45.jpg,bridge_9.jpg,playground_36.jpg,playground_36.jpg,playground_36.jpg,0,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,right,1.368,0,6,6,6,1,golf_course_25.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,mountain_232.jpg,mountain_232.jpg,mountain_54.jpg,left,badlands_174.jpg,mountain_232.jpg,highway_196.jpg,golf_course_57.jpg,golf_course_57.jpg,golf_course_57.jpg,1,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,right,1.373,0,7,7,7,1,mountain_54.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_52.jpg,badlands_94.jpg,left,golf_course_316.jpg,bridge_80.jpg,badlands_52.jpg,playground_70.jpg,playground_70.jpg,playground_70.jpg,2,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,left,1.189,0,8,8,8,1,badlands_94.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_154.jpg,mountain_131.jpg,left,highway_179.jpg,mountain_154.jpg,bridge_19.jpg,playground_172.jpg,playground_172.jpg,playground_172.jpg,1,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,left,1.226,0,9,9,9,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_250.jpg,bridge_205.jpg,left,playground_66.jpg,bridge_250.jpg,golf_course_128.jpg,badlands_100.jpg,badlands_100.jpg,badlands_100.jpg,1,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,left,1.195,0,10,10,10,1,bridge_205.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_157.jpg,left,mountain_110.jpg,badlands_153.jpg,highway_146.jpg,golf_course_159.jpg,golf_course_159.jpg,golf_course_159.jpg,0,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,right,1.26,0,11,11,11,1,mountain_157.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_209.jpg,highway_209.jpg,highway_314.jpg,left,mountain_166.jpg,highway_209.jpg,bridge_120.jpg,badlands_64.jpg,badlands_64.jpg,badlands_64.jpg,1,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,right,1.165,0,12,12,12,1,highway_314.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,playground_131.jpg,playground_131.jpg,playground_164.jpg,left,bridge_10.jpg,playground_131.jpg,mountain_307.jpg,golf_course_33.jpg,golf_course_33.jpg,golf_course_33.jpg,1,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,left,0.853,0,13,13,13,1,playground_164.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_91.jpg,bridge_253.jpg,left,golf_course_156.jpg,bridge_91.jpg,playground_183.jpg,mountain_161.jpg,mountain_161.jpg,mountain_161.jpg,1,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,right,0.836,0,14,14,14,1,bridge_253.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_117.jpg,playground_167.jpg,left,playground_117.jpg,highway_159.jpg,badlands_136.jpg,golf_course_173.jpg,golf_course_173.jpg,golf_course_173.jpg,0,A11N3TM268LQ12,30,Male,8,2023-07-17_14h04.54.692,working,2022.2.4,Win32,8.571771442,,,left,0.2,0,15,15,15,1,playground_167.jpg,0,playground,,,,,,,,,,,
