key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,19.4944,left,1.1192,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,
,,,right,0.9835,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,
,,,left,0.8541,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_214.jpg,playground_257.jpg,right,playground_257.jpg,bridge_169.jpg,badlands_95.jpg,mountain_204.jpg,mountain_204.jpg,mountain_204.jpg,0,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,space,7.8477,left,1.7916,0,0,0,0,1,playground_214.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_202.jpg,bridge_38.jpg,left,highway_144.jpg,bridge_202.jpg,golf_course_325.jpg,playground_193.jpg,playground_193.jpg,playground_193.jpg,1,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,left,1.1847,0,1,1,1,1,bridge_38.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_134.jpg,left,bridge_177.jpg,highway_245.jpg,badlands_136.jpg,playground_191.jpg,playground_191.jpg,playground_191.jpg,1,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,right,1.277,0,2,2,2,1,highway_134.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,highway_93.jpg,highway_93.jpg,highway_85.jpg,left,badlands_2.jpg,bridge_239.jpg,highway_93.jpg,golf_course_206.jpg,golf_course_206.jpg,golf_course_206.jpg,2,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,left,1.4576,0,3,3,3,1,highway_85.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,mountain_232.jpg,mountain_3.jpg,mountain_232.jpg,right,badlands_58.jpg,golf_course_290.jpg,mountain_232.jpg,playground_200.jpg,playground_200.jpg,playground_200.jpg,2,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,right,0.7915,0,4,4,4,1,mountain_3.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_184.jpg,mountain_230.jpg,right,highway_13.jpg,mountain_230.jpg,bridge_47.jpg,golf_course_1.jpg,golf_course_1.jpg,golf_course_1.jpg,1,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,right,0.7918,0,5,5,5,1,mountain_184.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_214.jpg,golf_course_317.jpg,golf_course_214.jpg,right,highway_99.jpg,golf_course_214.jpg,badlands_30.jpg,mountain_68.jpg,mountain_68.jpg,mountain_68.jpg,1,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,right,1.219,0,6,6,6,1,golf_course_317.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_195.jpg,golf_course_195.jpg,golf_course_25.jpg,left,playground_249.jpg,golf_course_195.jpg,highway_263.jpg,badlands_174.jpg,badlands_174.jpg,badlands_174.jpg,1,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,right,1.4825,0,7,7,7,1,golf_course_25.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,badlands_113.jpg,badlands_113.jpg,badlands_203.jpg,left,playground_6.jpg,badlands_113.jpg,golf_course_60.jpg,highway_325.jpg,highway_325.jpg,highway_325.jpg,1,A1969Q0R4Y0E3J,25,Female,8,2023-07-17_14h20.47.213,working,2022.2.4,Win32,59.89817311,,,right,1.8301,0,8,8,8,1,badlands_203.jpg,1,badlands,,,,,,,,,,,
