key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,1.8638,left,2.322,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A1GQWLAZQZP5VR,32,male,8,2023-07-17_15h29.13.408,working,2022.2.4,Win32,10.48789697,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.752,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A1GQWLAZQZP5VR,32,male,8,2023-07-17_15h29.13.408,working,2022.2.4,Win32,10.48789697,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.6763,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A1GQWLAZQZP5VR,32,male,8,2023-07-17_15h29.13.408,working,2022.2.4,Win32,10.48789697,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bridge_256.jpg,bridge_256.jpg,bridge_54.jpg,left,highway_147.jpg,bridge_256.jpg,badlands_176.jpg,golf_course_60.jpg,golf_course_60.jpg,golf_course_60.jpg,1,A1GQWLAZQZP5VR,32,male,8,2023-07-17_15h29.13.408,working,2022.2.4,Win32,10.48789697,space,1.8616,right,1.4671,0,0,0,0,1,bridge_54.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_65.jpg,bridge_60.jpg,bridge_65.jpg,right,highway_249.jpg,bridge_65.jpg,golf_course_128.jpg,mountain_233.jpg,mountain_233.jpg,mountain_233.jpg,1,A1GQWLAZQZP5VR,32,male,8,2023-07-17_15h29.13.408,working,2022.2.4,Win32,10.48789697,,,left,33.4483,0,1,1,1,1,bridge_60.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_177.jpg,highway_87.jpg,left,golf_course_223.jpg,playground_123.jpg,highway_177.jpg,bridge_52.jpg,bridge_52.jpg,bridge_52.jpg,2,A1GQWLAZQZP5VR,32,male,8,2023-07-17_15h29.13.408,working,2022.2.4,Win32,10.48789697,,,right,2.8712,0,2,2,2,1,highway_87.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,badlands_21.jpg,badlands_21.jpg,badlands_98.jpg,left,playground_46.jpg,mountain_4.jpg,badlands_21.jpg,golf_course_33.jpg,golf_course_33.jpg,golf_course_33.jpg,2,A1GQWLAZQZP5VR,32,male,8,2023-07-17_15h29.13.408,working,2022.2.4,Win32,10.48789697,,,left,1.618,0,3,3,3,1,badlands_98.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_82.jpg,bridge_91.jpg,right,highway_263.jpg,playground_41.jpg,bridge_91.jpg,golf_course_156.jpg,golf_course_156.jpg,golf_course_156.jpg,2,A1GQWLAZQZP5VR,32,male,8,2023-07-17_15h29.13.408,working,2022.2.4,Win32,10.48789697,,,right,1.7003,0,4,4,4,1,bridge_82.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_87.jpg,golf_course_87.jpg,golf_course_130.jpg,left,playground_259.jpg,badlands_180.jpg,golf_course_87.jpg,mountain_253.jpg,mountain_253.jpg,mountain_253.jpg,2,A1GQWLAZQZP5VR,32,male,8,2023-07-17_15h29.13.408,working,2022.2.4,Win32,10.48789697,,,left,2.1261,0,5,5,5,1,golf_course_130.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_268.jpg,playground_60.jpg,right,highway_11.jpg,playground_60.jpg,mountain_179.jpg,bridge_21.jpg,bridge_21.jpg,bridge_21.jpg,1,A1GQWLAZQZP5VR,32,male,8,2023-07-17_15h29.13.408,working,2022.2.4,Win32,10.48789697,,,right,1.4864,0,6,6,6,1,playground_268.jpg,0,playground,,,,,,,,,,,
