key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,21.1739,left,12.9191,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A1SUXLAA9QS64Y,35,Female,8,2023-07-17_19h44.18.880,working,2022.2.4,Win32,9.312547727,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.535,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A1SUXLAA9QS64Y,35,Female,8,2023-07-17_19h44.18.880,working,2022.2.4,Win32,9.312547727,,,,,,,,,,,,,,,,,,,,,,,
,,,right,5.3255,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A1SUXLAA9QS64Y,35,Female,8,2023-07-17_19h44.18.880,working,2022.2.4,Win32,9.312547727,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bridge_108.jpg,bridge_148.jpg,bridge_108.jpg,right,highway_11.jpg,bridge_108.jpg,badlands_218.jpg,playground_54.jpg,playground_54.jpg,playground_54.jpg,1,A1SUXLAA9QS64Y,35,Female,8,2023-07-17_19h44.18.880,working,2022.2.4,Win32,9.312547727,space,2.9284,right,3.2262,0,0,0,0,1,bridge_148.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_257.jpg,playground_215.jpg,left,playground_257.jpg,badlands_176.jpg,highway_261.jpg,mountain_68.jpg,mountain_68.jpg,mountain_68.jpg,0,A1SUXLAA9QS64Y,35,Female,8,2023-07-17_19h44.18.880,working,2022.2.4,Win32,9.312547727,,,left,2.4501,0,1,1,1,1,playground_215.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_309.jpg,golf_course_16.jpg,left,golf_course_309.jpg,mountain_253.jpg,highway_175.jpg,badlands_200.jpg,badlands_200.jpg,badlands_200.jpg,0,A1SUXLAA9QS64Y,35,Female,8,2023-07-17_19h44.18.880,working,2022.2.4,Win32,9.312547727,,,left,1.6754,0,2,2,2,1,golf_course_16.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_78.jpg,golf_course_101.jpg,left,badlands_177.jpg,golf_course_78.jpg,mountain_44.jpg,playground_209.jpg,playground_209.jpg,playground_209.jpg,1,A1SUXLAA9QS64Y,35,Female,8,2023-07-17_19h44.18.880,working,2022.2.4,Win32,9.312547727,,,left,2.6007,0,3,3,3,1,golf_course_101.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_156.jpg,mountain_156.jpg,mountain_128.jpg,left,badlands_108.jpg,mountain_156.jpg,golf_course_325.jpg,highway_18.jpg,highway_18.jpg,highway_18.jpg,1,A1SUXLAA9QS64Y,35,Female,8,2023-07-17_19h44.18.880,working,2022.2.4,Win32,9.312547727,,,left,2.2151,0,4,4,4,1,mountain_128.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_65.jpg,bridge_65.jpg,bridge_181.jpg,left,mountain_21.jpg,bridge_65.jpg,golf_course_21.jpg,badlands_193.jpg,badlands_193.jpg,badlands_193.jpg,1,A1SUXLAA9QS64Y,35,Female,8,2023-07-17_19h44.18.880,working,2022.2.4,Win32,9.312547727,,,right,2.4701,0,5,5,5,1,bridge_181.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_217.jpg,golf_course_262.jpg,left,highway_166.jpg,badlands_64.jpg,golf_course_217.jpg,playground_200.jpg,playground_200.jpg,playground_200.jpg,2,A1SUXLAA9QS64Y,35,Female,8,2023-07-17_19h44.18.880,working,2022.2.4,Win32,9.312547727,,,left,1.8155,0,6,6,6,1,golf_course_262.jpg,1,golf,,,,,,,,,,,
