key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,2.9769,left,1.7048,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A2A5XK67WBTNZ6,30,MALE,10,2023-07-17_16h23.00.761,working,2022.2.4,Win32,15.54678026,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.5445,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A2A5XK67WBTNZ6,30,MALE,10,2023-07-17_16h23.00.761,working,2022.2.4,Win32,15.54678026,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.1919,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A2A5XK67WBTNZ6,30,MALE,10,2023-07-17_16h23.00.761,working,2022.2.4,Win32,15.54678026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_268.jpg,playground_60.jpg,right,bridge_78.jpg,playground_60.jpg,highway_99.jpg,golf_course_223.jpg,golf_course_223.jpg,golf_course_223.jpg,1,A2A5XK67WBTNZ6,30,MALE,10,2023-07-17_16h23.00.761,working,2022.2.4,Win32,15.54678026,space,3.7868,left,1.5143,0,0,0,0,1,playground_268.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_101.jpg,golf_course_78.jpg,right,playground_30.jpg,mountain_111.jpg,golf_course_78.jpg,bridge_64.jpg,bridge_64.jpg,bridge_64.jpg,2,A2A5XK67WBTNZ6,30,MALE,10,2023-07-17_16h23.00.761,working,2022.2.4,Win32,15.54678026,,,right,1.6839,0,1,1,1,1,golf_course_101.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_257.jpg,playground_214.jpg,left,playground_257.jpg,bridge_49.jpg,golf_course_88.jpg,badlands_13.jpg,badlands_13.jpg,badlands_13.jpg,0,A2A5XK67WBTNZ6,30,MALE,10,2023-07-17_16h23.00.761,working,2022.2.4,Win32,15.54678026,,,left,1.8193,0,2,2,2,1,playground_214.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,mountain_222.jpg,mountain_222.jpg,mountain_93.jpg,left,playground_173.jpg,mountain_222.jpg,bridge_10.jpg,badlands_58.jpg,badlands_58.jpg,badlands_58.jpg,1,A2A5XK67WBTNZ6,30,MALE,10,2023-07-17_16h23.00.761,working,2022.2.4,Win32,15.54678026,,,right,1.289,0,3,3,3,1,mountain_93.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_205.jpg,playground_219.jpg,right,playground_219.jpg,highway_402.jpg,mountain_235.jpg,golf_course_152.jpg,golf_course_152.jpg,golf_course_152.jpg,0,A2A5XK67WBTNZ6,30,MALE,10,2023-07-17_16h23.00.761,working,2022.2.4,Win32,15.54678026,,,left,1.5543,0,4,4,4,1,playground_205.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_203.jpg,highway_294.jpg,right,badlands_149.jpg,golf_course_319.jpg,highway_294.jpg,bridge_204.jpg,bridge_204.jpg,bridge_204.jpg,2,A2A5XK67WBTNZ6,30,MALE,10,2023-07-17_16h23.00.761,working,2022.2.4,Win32,15.54678026,,,right,2.3298,0,5,5,5,1,highway_203.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_309.jpg,golf_course_16.jpg,left,mountain_307.jpg,golf_course_309.jpg,badlands_193.jpg,highway_263.jpg,highway_263.jpg,highway_263.jpg,1,A2A5XK67WBTNZ6,30,MALE,10,2023-07-17_16h23.00.761,working,2022.2.4,Win32,15.54678026,,,right,2.1078,0,6,6,6,1,golf_course_16.jpg,0,golf,,,,,,,,,,,
