key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,2.1441,right,2.1217,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A2E2Z8O95QL3IV,40,female,8,2023-07-17_14h58.15.705,working,2022.2.4,Win32,13.10530109,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.1544,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A2E2Z8O95QL3IV,40,female,8,2023-07-17_14h58.15.705,working,2022.2.4,Win32,13.10530109,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.4367,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A2E2Z8O95QL3IV,40,female,8,2023-07-17_14h58.15.705,working,2022.2.4,Win32,13.10530109,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_117.jpg,playground_127.jpg,left,playground_117.jpg,highway_249.jpg,bridge_49.jpg,mountain_107.jpg,mountain_107.jpg,mountain_107.jpg,0,A2E2Z8O95QL3IV,40,female,8,2023-07-17_14h58.15.705,working,2022.2.4,Win32,13.10530109,space,2.81,left,2.2627,0,0,0,0,1,playground_127.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_10.jpg,playground_122.jpg,left,golf_course_122.jpg,badlands_35.jpg,playground_10.jpg,bridge_19.jpg,bridge_19.jpg,bridge_19.jpg,2,A2E2Z8O95QL3IV,40,female,8,2023-07-17_14h58.15.705,working,2022.2.4,Win32,13.10530109,,,left,1.7885,0,1,1,1,1,playground_122.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_331.jpg,golf_course_26.jpg,golf_course_331.jpg,right,playground_241.jpg,golf_course_331.jpg,highway_166.jpg,bridge_182.jpg,bridge_182.jpg,bridge_182.jpg,1,A2E2Z8O95QL3IV,40,female,8,2023-07-17_14h58.15.705,working,2022.2.4,Win32,13.10530109,,,right,2.8525,0,2,2,2,1,golf_course_26.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_154.jpg,mountain_131.jpg,left,playground_3.jpg,badlands_59.jpg,mountain_154.jpg,highway_263.jpg,highway_263.jpg,highway_263.jpg,2,A2E2Z8O95QL3IV,40,female,8,2023-07-17_14h58.15.705,working,2022.2.4,Win32,13.10530109,,,left,1.5421,0,3,3,3,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,playground_76.jpg,playground_76.jpg,playground_72.jpg,left,highway_147.jpg,bridge_259.jpg,playground_76.jpg,mountain_161.jpg,mountain_161.jpg,mountain_161.jpg,2,A2E2Z8O95QL3IV,40,female,8,2023-07-17_14h58.15.705,working,2022.2.4,Win32,13.10530109,,,right,1.5504,0,4,4,4,1,playground_72.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_184.jpg,mountain_230.jpg,right,playground_103.jpg,mountain_230.jpg,bridge_132.jpg,badlands_99.jpg,badlands_99.jpg,badlands_99.jpg,1,A2E2Z8O95QL3IV,40,female,8,2023-07-17_14h58.15.705,working,2022.2.4,Win32,13.10530109,,,left,1.8639,0,5,5,5,1,mountain_184.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_257.jpg,playground_214.jpg,left,playground_257.jpg,bridge_48.jpg,mountain_91.jpg,badlands_27.jpg,badlands_27.jpg,badlands_27.jpg,0,A2E2Z8O95QL3IV,40,female,8,2023-07-17_14h58.15.705,working,2022.2.4,Win32,13.10530109,,,right,1.8587,0,6,6,6,1,playground_214.jpg,0,playground,,,,,,,,,,,
