key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,26.4447,left,5.5469,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,
,,,right,3.0415,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.1439,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,badlands_70.jpg,badlands_102.jpg,badlands_70.jpg,right,highway_13.jpg,badlands_70.jpg,golf_course_337.jpg,playground_46.jpg,playground_46.jpg,playground_46.jpg,1,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,space,11.6738,right,1.0297,0,0,0,0,1,badlands_102.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_195.jpg,golf_course_195.jpg,golf_course_25.jpg,left,golf_course_195.jpg,playground_36.jpg,bridge_257.jpg,mountain_132.jpg,mountain_132.jpg,mountain_132.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,left,0.9523,0,1,1,1,1,golf_course_25.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_244.jpg,playground_60.jpg,right,playground_60.jpg,badlands_152.jpg,mountain_107.jpg,highway_331.jpg,highway_331.jpg,highway_331.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,left,1.5586,0,2,2,2,1,playground_244.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_167.jpg,playground_117.jpg,right,bridge_78.jpg,badlands_149.jpg,playground_117.jpg,golf_course_321.jpg,golf_course_321.jpg,golf_course_321.jpg,2,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,1.3946,0,3,3,3,1,playground_167.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_137.jpg,playground_144.jpg,right,highway_88.jpg,mountain_166.jpg,playground_144.jpg,golf_course_316.jpg,golf_course_316.jpg,golf_course_316.jpg,2,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,0.7343,0,4,4,4,1,playground_137.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,mountain_293.jpg,mountain_72.jpg,mountain_293.jpg,right,badlands_38.jpg,golf_course_329.jpg,mountain_293.jpg,bridge_9.jpg,bridge_9.jpg,bridge_9.jpg,2,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,left,0.9725,0,5,5,5,1,mountain_72.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_217.jpg,golf_course_35.jpg,left,golf_course_217.jpg,mountain_160.jpg,bridge_177.jpg,badlands_186.jpg,badlands_186.jpg,badlands_186.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,left,0.985,0,6,6,6,1,golf_course_35.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,bridge_65.jpg,bridge_60.jpg,bridge_65.jpg,right,badlands_143.jpg,mountain_204.jpg,bridge_65.jpg,highway_75.jpg,highway_75.jpg,highway_75.jpg,2,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,1.0067,0,7,7,7,1,bridge_60.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_222.jpg,mountain_93.jpg,mountain_222.jpg,right,golf_course_42.jpg,highway_398.jpg,mountain_222.jpg,playground_103.jpg,playground_103.jpg,playground_103.jpg,2,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,1.1931,0,8,8,8,1,mountain_93.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_278.jpg,highway_177.jpg,right,highway_177.jpg,badlands_180.jpg,playground_41.jpg,golf_course_58.jpg,golf_course_58.jpg,golf_course_58.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,0.9329,0,9,9,9,1,highway_278.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,highway_415.jpg,highway_415.jpg,highway_174.jpg,left,highway_415.jpg,golf_course_52.jpg,badlands_216.jpg,bridge_158.jpg,bridge_158.jpg,bridge_158.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,1.1367,0,10,10,10,1,highway_174.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_114.jpg,badlands_23.jpg,right,badlands_23.jpg,playground_77.jpg,bridge_206.jpg,highway_261.jpg,highway_261.jpg,highway_261.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,left,1.104,0,11,11,11,1,badlands_114.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_209.jpg,golf_course_309.jpg,right,playground_3.jpg,badlands_142.jpg,golf_course_309.jpg,mountain_21.jpg,mountain_21.jpg,mountain_21.jpg,2,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,0.832,0,12,12,12,1,golf_course_209.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_230.jpg,mountain_97.jpg,left,mountain_230.jpg,playground_178.jpg,golf_course_204.jpg,highway_25.jpg,highway_25.jpg,highway_25.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,1.1268,0,13,13,13,1,mountain_97.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,playground_145.jpg,playground_242.jpg,playground_145.jpg,right,playground_145.jpg,bridge_49.jpg,badlands_13.jpg,highway_196.jpg,highway_196.jpg,highway_196.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,0.9947,0,14,14,14,1,playground_242.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_394.jpg,highway_394.jpg,highway_204.jpg,left,highway_394.jpg,mountain_179.jpg,golf_course_290.jpg,bridge_106.jpg,bridge_106.jpg,bridge_106.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,0.933,0,15,15,15,1,highway_204.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_257.jpg,playground_215.jpg,left,golf_course_122.jpg,playground_257.jpg,bridge_10.jpg,badlands_136.jpg,badlands_136.jpg,badlands_136.jpg,1,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,left,1.3118,0,16,16,16,1,playground_215.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,bridge_128.jpg,bridge_128.jpg,bridge_244.jpg,left,mountain_12.jpg,bridge_128.jpg,badlands_100.jpg,golf_course_325.jpg,golf_course_325.jpg,golf_course_325.jpg,1,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,0.7164,0,17,17,17,1,bridge_244.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_122.jpg,playground_10.jpg,right,playground_10.jpg,bridge_182.jpg,highway_357.jpg,golf_course_83.jpg,golf_course_83.jpg,golf_course_83.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,0.9357,0,18,18,18,1,playground_122.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,playground_131.jpg,playground_164.jpg,playground_131.jpg,right,playground_131.jpg,badlands_75.jpg,mountain_68.jpg,golf_course_206.jpg,golf_course_206.jpg,golf_course_206.jpg,0,A2M3DR0V45HNUL,28,Male,9,2023-07-17_23h39.20.134,working,2022.2.4,Win32,59.73715651,,,right,0.9928,0,19,19,19,1,playground_164.jpg,1,playground,,,,,,,,,,,
