key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,4.2096,right,43.2057,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,,,,,,,,,,,,,,,,,,,,,
,,,right,0.1706,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.8182,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mountain_101.jpg,mountain_171.jpg,mountain_101.jpg,right,highway_219.jpg,mountain_101.jpg,playground_90.jpg,bridge_18.jpg,bridge_18.jpg,bridge_18.jpg,1,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,space,2.5916,left,0.1711,0,0,0,0,1,mountain_171.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_146.jpg,bridge_121.jpg,left,mountain_233.jpg,badlands_153.jpg,bridge_146.jpg,golf_course_58.jpg,golf_course_58.jpg,golf_course_58.jpg,2,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,right,1.1595,0,1,1,1,1,bridge_121.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_394.jpg,highway_394.jpg,highway_406.jpg,left,mountain_199.jpg,highway_394.jpg,playground_30.jpg,golf_course_46.jpg,golf_course_46.jpg,golf_course_46.jpg,1,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,right,0.1724,0,2,2,2,1,highway_406.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_101.jpg,badlands_23.jpg,right,highway_159.jpg,badlands_23.jpg,golf_course_83.jpg,mountain_71.jpg,mountain_71.jpg,mountain_71.jpg,1,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,left,1.3679,0,3,3,3,1,badlands_101.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_78.jpg,golf_course_134.jpg,left,highway_99.jpg,golf_course_78.jpg,playground_6.jpg,bridge_182.jpg,bridge_182.jpg,bridge_182.jpg,1,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,right,5.3307,0,4,4,4,1,golf_course_134.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,highway_156.jpg,highway_156.jpg,highway_160.jpg,left,highway_156.jpg,mountain_66.jpg,playground_235.jpg,badlands_38.jpg,badlands_38.jpg,badlands_38.jpg,0,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,right,6.7256,0,5,5,5,1,highway_160.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,badlands_137.jpg,badlands_139.jpg,badlands_137.jpg,right,badlands_137.jpg,playground_181.jpg,mountain_34.jpg,golf_course_21.jpg,golf_course_21.jpg,golf_course_21.jpg,0,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,right,1.4508,0,6,6,6,1,badlands_139.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_250.jpg,bridge_134.jpg,left,bridge_250.jpg,golf_course_290.jpg,highway_196.jpg,mountain_214.jpg,mountain_214.jpg,mountain_214.jpg,0,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,right,1.4546,0,7,7,7,1,bridge_134.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_10.jpg,playground_12.jpg,left,highway_146.jpg,playground_10.jpg,badlands_30.jpg,mountain_68.jpg,mountain_68.jpg,mountain_68.jpg,1,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,right,1.8187,0,8,8,8,1,playground_12.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,badlands_222.jpg,badlands_34.jpg,badlands_222.jpg,right,badlands_222.jpg,bridge_26.jpg,mountain_91.jpg,golf_course_33.jpg,golf_course_33.jpg,golf_course_33.jpg,0,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,left,1.3791,0,9,9,9,1,badlands_34.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,highway_209.jpg,highway_122.jpg,highway_209.jpg,right,mountain_202.jpg,badlands_64.jpg,highway_209.jpg,bridge_120.jpg,bridge_120.jpg,bridge_120.jpg,2,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,right,0.1751,0,10,10,10,1,highway_122.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,badlands_70.jpg,badlands_70.jpg,badlands_119.jpg,left,golf_course_337.jpg,badlands_70.jpg,bridge_78.jpg,highway_244.jpg,highway_244.jpg,highway_244.jpg,1,A2WSNXVA7LQYSG,30,male,7,2023-07-17_15h36.42.034,working,2022.2.4,Win32,16.13293539,,,right,0.3468,0,11,11,11,1,badlands_119.jpg,1,badlands,,,,,,,,,,,
