key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,4.0941,right,10.7783,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A3POFYGIXGWD3I,40,female,8,2023-07-17_15h10.26.412,working,2022.2.4,Win32,59.66943135,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.13,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A3POFYGIXGWD3I,40,female,8,2023-07-17_15h10.26.412,working,2022.2.4,Win32,59.66943135,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.3588,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A3POFYGIXGWD3I,40,female,8,2023-07-17_15h10.26.412,working,2022.2.4,Win32,59.66943135,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_205.jpg,bridge_250.jpg,right,mountain_253.jpg,bridge_250.jpg,playground_52.jpg,golf_course_329.jpg,golf_course_329.jpg,golf_course_329.jpg,1,A3POFYGIXGWD3I,40,female,8,2023-07-17_15h10.26.412,working,2022.2.4,Win32,59.66943135,space,1.4834,left,1.8196,0,0,0,0,1,bridge_205.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_203.jpg,highway_294.jpg,right,highway_294.jpg,golf_course_173.jpg,bridge_19.jpg,badlands_149.jpg,badlands_149.jpg,badlands_149.jpg,0,A3POFYGIXGWD3I,40,female,8,2023-07-17_15h10.26.412,working,2022.2.4,Win32,59.66943135,,,left,2.0667,0,1,1,1,1,highway_203.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_78.jpg,golf_course_101.jpg,left,badlands_177.jpg,bridge_177.jpg,golf_course_78.jpg,mountain_292.jpg,mountain_292.jpg,mountain_292.jpg,2,A3POFYGIXGWD3I,40,female,8,2023-07-17_15h10.26.412,working,2022.2.4,Win32,59.66943135,,,left,1.1733,0,2,2,2,1,golf_course_101.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_293.jpg,mountain_47.jpg,mountain_293.jpg,right,playground_13.jpg,mountain_293.jpg,badlands_95.jpg,golf_course_264.jpg,golf_course_264.jpg,golf_course_264.jpg,1,A3POFYGIXGWD3I,40,female,8,2023-07-17_15h10.26.412,working,2022.2.4,Win32,59.66943135,,,right,1.6329,0,3,3,3,1,mountain_47.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_137.jpg,playground_144.jpg,right,mountain_199.jpg,highway_357.jpg,playground_144.jpg,golf_course_206.jpg,golf_course_206.jpg,golf_course_206.jpg,2,A3POFYGIXGWD3I,40,female,8,2023-07-17_15h10.26.412,working,2022.2.4,Win32,59.66943135,,,right,1.1048,0,4,4,4,1,playground_137.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,bridge_191.jpg,bridge_191.jpg,bridge_184.jpg,left,highway_146.jpg,golf_course_83.jpg,bridge_191.jpg,mountain_44.jpg,mountain_44.jpg,mountain_44.jpg,2,A3POFYGIXGWD3I,40,female,8,2023-07-17_15h10.26.412,working,2022.2.4,Win32,59.66943135,,,right,5.7325,0,5,5,5,1,bridge_184.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_262.jpg,golf_course_217.jpg,right,highway_159.jpg,golf_course_217.jpg,badlands_152.jpg,mountain_204.jpg,mountain_204.jpg,mountain_204.jpg,1,A3POFYGIXGWD3I,40,female,8,2023-07-17_15h10.26.412,working,2022.2.4,Win32,59.66943135,,,left,2.7001,0,6,6,6,1,golf_course_262.jpg,1,golf,,,,,,,,,,,
