key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,3.0306,left,7.2624,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,,,,,,,,,,,,,,,,,,,,,
,,,right,2.7664,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,,,,,,,,,,,,,,,,,,,,,
,,,right,2.1053,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_163.jpg,bridge_172.jpg,right,playground_30.jpg,mountain_166.jpg,bridge_172.jpg,badlands_58.jpg,badlands_58.jpg,badlands_58.jpg,2,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,space,1.8908,right,1.137,0,0,0,0,1,bridge_163.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_184.jpg,mountain_230.jpg,right,mountain_230.jpg,bridge_263.jpg,playground_178.jpg,highway_319.jpg,highway_319.jpg,highway_319.jpg,0,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,right,1.4688,0,1,1,1,1,mountain_184.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_209.jpg,highway_122.jpg,highway_209.jpg,right,mountain_68.jpg,highway_209.jpg,playground_181.jpg,badlands_180.jpg,badlands_180.jpg,badlands_180.jpg,1,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,right,1.3057,0,2,2,2,1,highway_122.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,highway_93.jpg,highway_93.jpg,highway_369.jpg,left,highway_93.jpg,badlands_64.jpg,mountain_44.jpg,bridge_21.jpg,bridge_21.jpg,bridge_21.jpg,0,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,right,1.159,0,3,3,3,1,highway_369.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_157.jpg,left,mountain_110.jpg,badlands_75.jpg,highway_144.jpg,golf_course_258.jpg,golf_course_258.jpg,golf_course_258.jpg,0,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,right,1.6768,0,4,4,4,1,mountain_157.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_24.jpg,badlands_3.jpg,left,playground_54.jpg,mountain_212.jpg,badlands_24.jpg,bridge_9.jpg,bridge_9.jpg,bridge_9.jpg,2,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,left,2.4643,0,5,5,5,1,badlands_3.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_87.jpg,golf_course_87.jpg,golf_course_161.jpg,left,bridge_239.jpg,badlands_149.jpg,golf_course_87.jpg,mountain_24.jpg,mountain_24.jpg,mountain_24.jpg,2,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,right,2.2956,0,6,6,6,1,golf_course_161.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_309.jpg,golf_course_209.jpg,left,mountain_296.jpg,golf_course_309.jpg,highway_301.jpg,badlands_89.jpg,badlands_89.jpg,badlands_89.jpg,1,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,left,1.2972,0,7,7,7,1,golf_course_209.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_235.jpg,golf_course_193.jpg,right,playground_52.jpg,badlands_143.jpg,golf_course_193.jpg,highway_333.jpg,highway_333.jpg,highway_333.jpg,2,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,left,1.3154,0,8,8,8,1,golf_course_235.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_188.jpg,golf_course_188.jpg,golf_course_157.jpg,left,playground_80.jpg,badlands_173.jpg,golf_course_188.jpg,mountain_179.jpg,mountain_179.jpg,mountain_179.jpg,2,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,right,0.9856,0,9,9,9,1,golf_course_157.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,highway_394.jpg,highway_204.jpg,highway_394.jpg,right,highway_394.jpg,bridge_123.jpg,golf_course_27.jpg,playground_173.jpg,playground_173.jpg,playground_173.jpg,0,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,right,1.3032,0,10,10,10,1,highway_204.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_127.jpg,playground_117.jpg,right,mountain_115.jpg,playground_117.jpg,highway_234.jpg,bridge_204.jpg,bridge_204.jpg,bridge_204.jpg,1,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,left,1.949,0,11,11,11,1,playground_127.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,badlands_113.jpg,badlands_113.jpg,badlands_225.jpg,left,badlands_113.jpg,playground_168.jpg,bridge_251.jpg,golf_course_320.jpg,golf_course_320.jpg,golf_course_320.jpg,0,A3VWJQ8RNAPEO4,30,FEMALE,8,2023-07-17_15h41.07.632,working,2022.2.4,Win32,22.53216467,,,right,1.803,0,12,12,12,1,badlands_225.jpg,0,badlands,,,,,,,,,,,
