key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,19.5727,right,1.7457,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.2362,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,,,,,,,,,,,,,,,,,,,,,,,
,,,right,3.2365,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_368.jpg,highway_294.jpg,right,badlands_54.jpg,highway_294.jpg,bridge_80.jpg,golf_course_337.jpg,golf_course_337.jpg,golf_course_337.jpg,1,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,space,6.5172,right,2.1233,0,0,0,0,1,highway_368.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,bridge_256.jpg,bridge_256.jpg,bridge_54.jpg,left,mountain_104.jpg,bridge_256.jpg,badlands_218.jpg,playground_3.jpg,playground_3.jpg,playground_3.jpg,1,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,,,left,2.3842,0,1,1,1,1,bridge_54.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,highway_156.jpg,highway_160.jpg,highway_156.jpg,right,highway_156.jpg,playground_52.jpg,badlands_166.jpg,mountain_224.jpg,mountain_224.jpg,mountain_224.jpg,0,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,,,right,1.8803,0,2,2,2,1,highway_160.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_134.jpg,left,playground_30.jpg,highway_245.jpg,bridge_34.jpg,golf_course_88.jpg,golf_course_88.jpg,golf_course_88.jpg,1,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,,,left,1.9286,0,3,3,3,1,highway_134.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,golf_course_214.jpg,golf_course_214.jpg,golf_course_317.jpg,left,playground_193.jpg,golf_course_214.jpg,bridge_158.jpg,highway_249.jpg,highway_249.jpg,highway_249.jpg,1,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,,,right,1.7144,0,4,4,4,1,golf_course_317.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_157.jpg,mountain_110.jpg,right,playground_5.jpg,highway_23.jpg,mountain_110.jpg,golf_course_198.jpg,golf_course_198.jpg,golf_course_198.jpg,2,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,,,right,2.0811,0,5,5,5,1,mountain_157.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_57.jpg,mountain_57.jpg,mountain_193.jpg,left,bridge_64.jpg,playground_6.jpg,mountain_57.jpg,badlands_153.jpg,badlands_153.jpg,badlands_153.jpg,2,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,,,left,1.5398,0,6,6,6,1,mountain_193.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_359.jpg,highway_359.jpg,highway_389.jpg,left,highway_359.jpg,playground_200.jpg,badlands_45.jpg,bridge_257.jpg,bridge_257.jpg,bridge_257.jpg,0,AE0Q863L0ZKX6,35,FEMALE,8,2023-07-17_14h13.54.698,working,2022.2.4,Win32,7.111616826,,,left,1.6212,0,7,7,7,1,highway_389.jpg,0,highway,,,,,,,,,,,
