key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,10.7375,left,5.106900002,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,AFUODD7RP0JQO,46,Male,8,2023-07-17_11h22.56.441,working,2022.2.4,Win32,4.606299575,,,,,,,,,,,,,,,,,,,,,,,
,,,right,5.052,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,AFUODD7RP0JQO,46,Male,8,2023-07-17_11h22.56.441,working,2022.2.4,Win32,4.606299575,,,,,,,,,,,,,,,,,,,,,,,
,,,right,10.5897,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,AFUODD7RP0JQO,46,Male,8,2023-07-17_11h22.56.441,working,2022.2.4,Win32,4.606299575,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_146.jpg,bridge_121.jpg,left,bridge_146.jpg,mountain_199.jpg,playground_36.jpg,badlands_200.jpg,badlands_200.jpg,badlands_200.jpg,0,AFUODD7RP0JQO,46,Male,8,2023-07-17_11h22.56.441,working,2022.2.4,Win32,4.606299575,space,4.507299999,right,6.0574,0,0,0,0,1,bridge_121.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_394.jpg,highway_394.jpg,highway_406.jpg,left,highway_394.jpg,bridge_239.jpg,golf_course_290.jpg,mountain_301.jpg,mountain_301.jpg,mountain_301.jpg,0,AFUODD7RP0JQO,46,Male,8,2023-07-17_11h22.56.441,working,2022.2.4,Win32,4.606299575,,,right,10.849,0,1,1,1,1,highway_406.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_230.jpg,mountain_184.jpg,left,playground_241.jpg,mountain_230.jpg,bridge_2.jpg,golf_course_128.jpg,golf_course_128.jpg,golf_course_128.jpg,1,AFUODD7RP0JQO,46,Male,8,2023-07-17_11h22.56.441,working,2022.2.4,Win32,4.606299575,,,right,10.3388,0,2,2,2,1,mountain_184.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_93.jpg,highway_85.jpg,highway_93.jpg,right,highway_93.jpg,bridge_18.jpg,playground_124.jpg,golf_course_43.jpg,golf_course_43.jpg,golf_course_43.jpg,0,AFUODD7RP0JQO,46,Male,8,2023-07-17_11h22.56.441,working,2022.2.4,Win32,4.606299575,,,left,3.787200001,0,3,3,3,1,highway_85.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_82.jpg,bridge_91.jpg,right,bridge_91.jpg,badlands_174.jpg,highway_147.jpg,playground_52.jpg,playground_52.jpg,playground_52.jpg,0,AFUODD7RP0JQO,46,Male,8,2023-07-17_11h22.56.441,working,2022.2.4,Win32,4.606299575,,,right,5.3109,0,4,4,4,1,bridge_82.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_94.jpg,mountain_123.jpg,right,bridge_158.jpg,playground_103.jpg,mountain_123.jpg,badlands_13.jpg,badlands_13.jpg,badlands_13.jpg,2,AFUODD7RP0JQO,46,Male,8,2023-07-17_11h22.56.441,working,2022.2.4,Win32,4.606299575,,,left,2.908700001,0,5,5,5,1,mountain_94.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_415.jpg,highway_415.jpg,highway_60.jpg,left,bridge_204.jpg,highway_415.jpg,playground_183.jpg,golf_course_122.jpg,golf_course_122.jpg,golf_course_122.jpg,1,AFUODD7RP0JQO,46,Male,8,2023-07-17_11h22.56.441,working,2022.2.4,Win32,4.606299575,,,left,2.374400002,0,6,6,6,1,highway_60.jpg,0,highway,,,,,,,,,,,
