key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,13.2844,right,47.2902,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,AS55GKL261S17,27,female,8,2023-07-17_14h53.46.049,working,2022.2.4,Win32,11.2873187,,,,,,,,,,,,,,,,,,,,,,,
,,,right,34.3304,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,AS55GKL261S17,27,female,8,2023-07-17_14h53.46.049,working,2022.2.4,Win32,11.2873187,,,,,,,,,,,,,,,,,,,,,,,
,,,left,5.9728,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,AS55GKL261S17,27,female,8,2023-07-17_14h53.46.049,working,2022.2.4,Win32,11.2873187,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_235.jpg,golf_course_193.jpg,right,badlands_142.jpg,mountain_292.jpg,golf_course_193.jpg,bridge_106.jpg,bridge_106.jpg,bridge_106.jpg,2,AS55GKL261S17,27,female,8,2023-07-17_14h53.46.049,working,2022.2.4,Win32,11.2873187,space,59.2944,right,2.6445,0,0,0,0,1,golf_course_235.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_82.jpg,bridge_91.jpg,right,golf_course_27.jpg,mountain_132.jpg,bridge_91.jpg,badlands_38.jpg,badlands_38.jpg,badlands_38.jpg,2,AS55GKL261S17,27,female,8,2023-07-17_14h53.46.049,working,2022.2.4,Win32,11.2873187,,,right,2.4596,0,1,1,1,1,bridge_82.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_15.jpg,golf_course_15.jpg,golf_course_97.jpg,left,golf_course_15.jpg,bridge_78.jpg,mountain_105.jpg,highway_227.jpg,highway_227.jpg,highway_227.jpg,0,AS55GKL261S17,27,female,8,2023-07-17_14h53.46.049,working,2022.2.4,Win32,11.2873187,,,left,2.6214,0,2,2,2,1,golf_course_97.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_146.jpg,bridge_27.jpg,left,playground_235.jpg,bridge_146.jpg,highway_244.jpg,golf_course_52.jpg,golf_course_52.jpg,golf_course_52.jpg,1,AS55GKL261S17,27,female,8,2023-07-17_14h53.46.049,working,2022.2.4,Win32,11.2873187,,,left,3.2907,0,3,3,3,1,bridge_27.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,highway_415.jpg,highway_60.jpg,highway_415.jpg,right,golf_course_21.jpg,highway_415.jpg,playground_108.jpg,badlands_180.jpg,badlands_180.jpg,badlands_180.jpg,1,AS55GKL261S17,27,female,8,2023-07-17_14h53.46.049,working,2022.2.4,Win32,11.2873187,,,right,4.1296,0,4,4,4,1,highway_60.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_217.jpg,golf_course_262.jpg,left,bridge_264.jpg,highway_402.jpg,golf_course_217.jpg,playground_259.jpg,playground_259.jpg,playground_259.jpg,2,AS55GKL261S17,27,female,8,2023-07-17_14h53.46.049,working,2022.2.4,Win32,11.2873187,,,left,6.0526,0,5,5,5,1,golf_course_262.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,highway_93.jpg,highway_93.jpg,highway_85.jpg,left,bridge_120.jpg,golf_course_316.jpg,highway_93.jpg,playground_183.jpg,playground_183.jpg,playground_183.jpg,2,AS55GKL261S17,27,female,8,2023-07-17_14h53.46.049,working,2022.2.4,Win32,11.2873187,,,right,8.5687,0,6,6,6,1,highway_85.jpg,0,highway,,,,,,,,,,,
