key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,2.858,left,5.1692,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.993,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.0935,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,golf_course_331.jpg,golf_course_331.jpg,golf_course_114.jpg,left,golf_course_331.jpg,mountain_68.jpg,bridge_103.jpg,playground_25.jpg,playground_25.jpg,playground_25.jpg,0,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,space,7.7503,right,1.002,0,0,0,0,1,golf_course_114.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_117.jpg,playground_127.jpg,left,mountain_44.jpg,bridge_19.jpg,playground_117.jpg,golf_course_152.jpg,golf_course_152.jpg,golf_course_152.jpg,2,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,right,1.4305,0,1,1,1,1,playground_127.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_82.jpg,bridge_91.jpg,right,bridge_91.jpg,badlands_143.jpg,playground_46.jpg,highway_342.jpg,highway_342.jpg,highway_342.jpg,0,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,right,1.5788,0,2,2,2,1,bridge_82.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_57.jpg,mountain_193.jpg,mountain_57.jpg,right,bridge_179.jpg,playground_191.jpg,mountain_57.jpg,badlands_75.jpg,badlands_75.jpg,badlands_75.jpg,2,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,right,1.7739,0,3,3,3,1,mountain_193.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_209.jpg,highway_209.jpg,highway_122.jpg,left,playground_52.jpg,golf_course_21.jpg,highway_209.jpg,bridge_123.jpg,bridge_123.jpg,bridge_123.jpg,2,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,right,2.4052,0,4,4,4,1,highway_122.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_230.jpg,mountain_97.jpg,left,bridge_26.jpg,mountain_230.jpg,badlands_177.jpg,golf_course_88.jpg,golf_course_88.jpg,golf_course_88.jpg,1,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,right,2.2769,0,5,5,5,1,mountain_97.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,playground_131.jpg,playground_164.jpg,playground_131.jpg,right,playground_131.jpg,mountain_105.jpg,golf_course_57.jpg,bridge_257.jpg,bridge_257.jpg,bridge_257.jpg,0,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,left,2.0107,0,6,6,6,1,playground_164.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_235.jpg,golf_course_193.jpg,right,mountain_111.jpg,golf_course_193.jpg,bridge_47.jpg,playground_7.jpg,playground_7.jpg,playground_7.jpg,1,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,right,1.8286,0,7,7,7,1,golf_course_235.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_78.jpg,golf_course_101.jpg,left,playground_168.jpg,golf_course_78.jpg,bridge_52.jpg,badlands_38.jpg,badlands_38.jpg,badlands_38.jpg,1,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,left,1.1246,0,8,8,8,1,golf_course_101.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,bridge_65.jpg,bridge_181.jpg,bridge_65.jpg,right,playground_13.jpg,golf_course_27.jpg,bridge_65.jpg,badlands_95.jpg,badlands_95.jpg,badlands_95.jpg,2,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,left,0.5499,0,9,9,9,1,bridge_181.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_101.jpg,mountain_221.jpg,mountain_101.jpg,right,mountain_101.jpg,playground_200.jpg,badlands_193.jpg,highway_261.jpg,highway_261.jpg,highway_261.jpg,0,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,right,1.2041,0,10,10,10,1,mountain_221.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,highway_273.jpg,highway_384.jpg,highway_273.jpg,right,playground_158.jpg,highway_273.jpg,bridge_25.jpg,mountain_162.jpg,mountain_162.jpg,mountain_162.jpg,1,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,right,2.2536,0,11,11,11,1,highway_384.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_205.jpg,bridge_250.jpg,right,bridge_250.jpg,playground_6.jpg,mountain_296.jpg,highway_18.jpg,highway_18.jpg,highway_18.jpg,0,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,left,1.503,0,12,12,12,1,bridge_205.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_156.jpg,mountain_156.jpg,mountain_295.jpg,left,badlands_99.jpg,mountain_156.jpg,playground_103.jpg,highway_331.jpg,highway_331.jpg,highway_331.jpg,1,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,right,1.6129,0,13,13,13,1,mountain_295.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_87.jpg,highway_177.jpg,right,badlands_174.jpg,highway_177.jpg,golf_course_122.jpg,bridge_263.jpg,bridge_263.jpg,bridge_263.jpg,1,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,left,8.3037,0,14,14,14,1,highway_87.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_21.jpg,playground_219.jpg,right,golf_course_334.jpg,mountain_199.jpg,playground_219.jpg,highway_147.jpg,highway_147.jpg,highway_147.jpg,2,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,right,5.8915,0,15,15,15,1,playground_21.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_157.jpg,left,mountain_110.jpg,golf_course_58.jpg,playground_116.jpg,badlands_108.jpg,badlands_108.jpg,badlands_108.jpg,0,A10NKDFS29XEBT,30,male,7,2023-07-18_16h25.31.884,working,2022.2.4,Win32,16.12539104,,,left,2.589,0,16,16,16,1,mountain_157.jpg,0,mountain,,,,,,,,,,,
