key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,2.8969,left,1.1946,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.34,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.4111,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_146.jpg,bridge_27.jpg,left,badlands_200.jpg,mountain_292.jpg,bridge_146.jpg,playground_172.jpg,playground_172.jpg,playground_172.jpg,2,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,space,5.9182,right,4.4803,0,0,0,0,1,bridge_27.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_65.jpg,playground_144.jpg,right,mountain_160.jpg,highway_23.jpg,playground_144.jpg,badlands_166.jpg,badlands_166.jpg,badlands_166.jpg,2,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,right,1.4323,0,1,1,1,1,playground_65.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,badlands_184.jpg,badlands_103.jpg,badlands_184.jpg,right,highway_11.jpg,mountain_34.jpg,badlands_184.jpg,bridge_182.jpg,bridge_182.jpg,bridge_182.jpg,2,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,left,1.4722,0,2,2,2,1,badlands_103.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_31.jpg,bridge_202.jpg,right,mountain_66.jpg,golf_course_128.jpg,bridge_202.jpg,badlands_89.jpg,badlands_89.jpg,badlands_89.jpg,2,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,left,3.3677,0,3,3,3,1,bridge_31.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_163.jpg,bridge_172.jpg,right,mountain_44.jpg,highway_357.jpg,bridge_172.jpg,golf_course_102.jpg,golf_course_102.jpg,golf_course_102.jpg,2,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,left,0.738,0,4,4,4,1,bridge_163.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_250.jpg,bridge_134.jpg,left,playground_249.jpg,mountain_214.jpg,bridge_250.jpg,highway_25.jpg,highway_25.jpg,highway_25.jpg,2,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,left,3.1758,0,5,5,5,1,bridge_134.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_222.jpg,mountain_222.jpg,mountain_244.jpg,left,mountain_222.jpg,golf_course_302.jpg,badlands_2.jpg,bridge_80.jpg,bridge_80.jpg,bridge_80.jpg,0,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,right,2.0443,0,6,6,6,1,mountain_244.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_309.jpg,golf_course_16.jpg,left,playground_54.jpg,highway_37.jpg,golf_course_309.jpg,mountain_24.jpg,mountain_24.jpg,mountain_24.jpg,2,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,left,2.6105,0,7,7,7,1,golf_course_16.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,bridge_65.jpg,bridge_65.jpg,bridge_60.jpg,left,playground_103.jpg,badlands_226.jpg,bridge_65.jpg,golf_course_320.jpg,golf_course_320.jpg,golf_course_320.jpg,2,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,right,4.608,0,8,8,8,1,bridge_60.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_10.jpg,playground_12.jpg,left,playground_10.jpg,highway_75.jpg,badlands_153.jpg,golf_course_152.jpg,golf_course_152.jpg,golf_course_152.jpg,0,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,left,2.358,0,9,9,9,1,playground_12.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_95.jpg,mountain_154.jpg,right,mountain_154.jpg,highway_13.jpg,playground_183.jpg,golf_course_334.jpg,golf_course_334.jpg,golf_course_334.jpg,0,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,right,1.6351,0,10,10,10,1,mountain_95.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_3.jpg,badlands_24.jpg,right,highway_244.jpg,playground_158.jpg,badlands_24.jpg,bridge_52.jpg,bridge_52.jpg,bridge_52.jpg,2,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,right,0.8549,0,11,11,11,1,badlands_3.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_167.jpg,playground_117.jpg,right,playground_117.jpg,bridge_48.jpg,badlands_99.jpg,golf_course_57.jpg,golf_course_57.jpg,golf_course_57.jpg,0,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,right,4.6691,0,12,12,12,1,playground_167.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_215.jpg,playground_257.jpg,right,mountain_280.jpg,playground_257.jpg,golf_course_46.jpg,bridge_204.jpg,bridge_204.jpg,bridge_204.jpg,1,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,left,2.6826,0,13,13,13,1,playground_215.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_219.jpg,playground_21.jpg,left,bridge_2.jpg,playground_219.jpg,golf_course_21.jpg,badlands_193.jpg,badlands_193.jpg,badlands_193.jpg,1,A1AYHO5T4WYT2V,30,male,7,2023-07-18_16h24.59.106,working,2022.2.4,Win32,16.28770604,,,left,1.2584,0,14,14,14,1,playground_21.jpg,0,playground,,,,,,,,,,,
