key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,3.0773,left,4.0023,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,,,,,,,,,,,,,,,,,,,,,
,,,left,30.4112,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,,,,,,,,,,,,,,,,,,,,,
,,,left,27.561,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_177.jpg,highway_87.jpg,left,badlands_2.jpg,highway_177.jpg,mountain_26.jpg,bridge_52.jpg,bridge_52.jpg,bridge_52.jpg,1,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,space,2.7794,left,37.0273,0,0,0,0,1,highway_87.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,mountain_222.jpg,mountain_222.jpg,mountain_244.jpg,left,highway_402.jpg,badlands_45.jpg,mountain_222.jpg,golf_course_325.jpg,golf_course_325.jpg,golf_course_325.jpg,2,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,4.0596,0,1,1,1,1,mountain_244.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_221.jpg,badlands_207.jpg,badlands_221.jpg,right,golf_course_159.jpg,badlands_221.jpg,mountain_12.jpg,playground_116.jpg,playground_116.jpg,playground_116.jpg,1,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,14.8223,0,2,2,2,1,badlands_207.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_137.jpg,badlands_137.jpg,badlands_194.jpg,left,badlands_137.jpg,bridge_204.jpg,playground_209.jpg,mountain_44.jpg,mountain_44.jpg,mountain_44.jpg,0,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,6.6406,0,3,3,3,1,badlands_194.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_131.jpg,mountain_154.jpg,right,highway_336.jpg,mountain_154.jpg,golf_course_198.jpg,badlands_100.jpg,badlands_100.jpg,badlands_100.jpg,1,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,right,1.7216,0,4,4,4,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_35.jpg,golf_course_217.jpg,right,bridge_21.jpg,golf_course_217.jpg,playground_183.jpg,highway_196.jpg,highway_196.jpg,highway_196.jpg,1,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,0.5968,0,5,5,5,1,golf_course_35.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_23.jpg,badlands_114.jpg,left,playground_6.jpg,bridge_263.jpg,badlands_23.jpg,golf_course_329.jpg,golf_course_329.jpg,golf_course_329.jpg,2,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,1.3847,0,6,6,6,1,badlands_114.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,highway_209.jpg,highway_122.jpg,highway_209.jpg,right,badlands_95.jpg,highway_209.jpg,bridge_19.jpg,playground_123.jpg,playground_123.jpg,playground_123.jpg,1,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,6.9433,0,7,7,7,1,highway_122.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,golf_course_188.jpg,golf_course_160.jpg,golf_course_188.jpg,right,bridge_132.jpg,golf_course_188.jpg,badlands_99.jpg,highway_342.jpg,highway_342.jpg,highway_342.jpg,1,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,1.5299,0,8,8,8,1,golf_course_160.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_94.jpg,mountain_123.jpg,right,badlands_38.jpg,bridge_257.jpg,mountain_123.jpg,golf_course_1.jpg,golf_course_1.jpg,golf_course_1.jpg,2,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,95.0176,0,9,9,9,1,mountain_94.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_256.jpg,bridge_211.jpg,bridge_256.jpg,right,playground_264.jpg,highway_88.jpg,bridge_256.jpg,badlands_13.jpg,badlands_13.jpg,badlands_13.jpg,2,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,1.1325,0,10,10,10,1,bridge_211.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_205.jpg,bridge_250.jpg,right,highway_249.jpg,golf_course_264.jpg,bridge_250.jpg,badlands_89.jpg,badlands_89.jpg,badlands_89.jpg,2,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,56.0532,0,11,11,11,1,bridge_205.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_15.jpg,golf_course_15.jpg,golf_course_113.jpg,left,playground_241.jpg,golf_course_15.jpg,mountain_132.jpg,bridge_34.jpg,bridge_34.jpg,bridge_34.jpg,1,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,0.0063,0,12,12,12,1,golf_course_113.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_131.jpg,playground_164.jpg,playground_131.jpg,right,playground_131.jpg,bridge_169.jpg,mountain_71.jpg,highway_325.jpg,highway_325.jpg,highway_325.jpg,0,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,29.6923,0,13,13,13,1,playground_164.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_97.jpg,mountain_230.jpg,right,highway_219.jpg,playground_103.jpg,mountain_230.jpg,bridge_251.jpg,bridge_251.jpg,bridge_251.jpg,2,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,4.3413,0,14,14,14,1,mountain_97.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_17.jpg,bridge_172.jpg,right,playground_178.jpg,mountain_84.jpg,bridge_172.jpg,highway_117.jpg,highway_117.jpg,highway_117.jpg,2,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,1.4104,0,15,15,15,1,bridge_17.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,playground_145.jpg,playground_145.jpg,playground_229.jpg,left,playground_145.jpg,highway_25.jpg,badlands_136.jpg,mountain_111.jpg,mountain_111.jpg,mountain_111.jpg,0,A1I3Z24C70SS45,30,male,7 ,2023-07-18_19h18.03.800,working,2022.2.4,Win32,13.52045645,,,left,26.3852,0,16,16,16,1,playground_229.jpg,0,playground,,,,,,,,,,,
