key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,1.7436,left,1.9125,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A1MFHM2LWYDNXQ,30,MALE,8,2023-07-18_16h16.22.538,working,2022.2.4,Win32,9.309426726,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.7267,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A1MFHM2LWYDNXQ,30,MALE,8,2023-07-18_16h16.22.538,working,2022.2.4,Win32,9.309426726,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.4049,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A1MFHM2LWYDNXQ,30,MALE,8,2023-07-18_16h16.22.538,working,2022.2.4,Win32,9.309426726,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_262.jpg,golf_course_217.jpg,right,bridge_18.jpg,golf_course_217.jpg,playground_54.jpg,badlands_64.jpg,badlands_64.jpg,badlands_64.jpg,1,A1MFHM2LWYDNXQ,30,MALE,8,2023-07-18_16h16.22.538,working,2022.2.4,Win32,9.309426726,space,2.0712,left,2.0656,0,0,0,0,1,golf_course_262.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_101.jpg,badlands_23.jpg,right,badlands_23.jpg,golf_course_329.jpg,mountain_214.jpg,highway_12.jpg,highway_12.jpg,highway_12.jpg,0,A1MFHM2LWYDNXQ,30,MALE,8,2023-07-18_16h16.22.538,working,2022.2.4,Win32,9.309426726,,,right,1.364,0,1,1,1,1,badlands_101.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_131.jpg,mountain_154.jpg,right,badlands_210.jpg,golf_course_173.jpg,mountain_154.jpg,bridge_230.jpg,bridge_230.jpg,bridge_230.jpg,2,A1MFHM2LWYDNXQ,30,MALE,8,2023-07-18_16h16.22.538,working,2022.2.4,Win32,9.309426726,,,left,1.4798,0,2,2,2,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_191.jpg,bridge_184.jpg,bridge_191.jpg,right,mountain_71.jpg,bridge_191.jpg,highway_325.jpg,playground_123.jpg,playground_123.jpg,playground_123.jpg,1,A1MFHM2LWYDNXQ,30,MALE,8,2023-07-18_16h16.22.538,working,2022.2.4,Win32,9.309426726,,,right,1.6311,0,3,3,3,1,bridge_184.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_223.jpg,mountain_110.jpg,right,playground_172.jpg,mountain_110.jpg,badlands_95.jpg,highway_196.jpg,highway_196.jpg,highway_196.jpg,1,A1MFHM2LWYDNXQ,30,MALE,8,2023-07-18_16h16.22.538,working,2022.2.4,Win32,9.309426726,,,left,1.4879,0,4,4,4,1,mountain_223.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_256.jpg,bridge_256.jpg,bridge_54.jpg,left,mountain_84.jpg,bridge_256.jpg,badlands_176.jpg,highway_25.jpg,highway_25.jpg,highway_25.jpg,1,A1MFHM2LWYDNXQ,30,MALE,8,2023-07-18_16h16.22.538,working,2022.2.4,Win32,9.309426726,,,left,4.3276,0,5,5,5,1,bridge_54.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,badlands_221.jpg,badlands_221.jpg,badlands_207.jpg,left,playground_183.jpg,badlands_221.jpg,golf_course_88.jpg,mountain_162.jpg,mountain_162.jpg,mountain_162.jpg,1,A1MFHM2LWYDNXQ,30,MALE,8,2023-07-18_16h16.22.538,working,2022.2.4,Win32,9.309426726,,,right,3.5371,0,6,6,6,1,badlands_207.jpg,1,badlands,,,,,,,,,,,
