key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,2.8767,right,0.9217,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,,,,,,,,,,,,,,,,,,,,,
,,,right,0.0915,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,,,,,,,,,,,,,,,,,,,,,
,,,left,0.0083,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,badlands_113.jpg,badlands_113.jpg,badlands_225.jpg,left,badlands_113.jpg,mountain_202.jpg,playground_80.jpg,bridge_52.jpg,bridge_52.jpg,bridge_52.jpg,0,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,space,1.5392,left,0.1152,0,0,0,0,1,badlands_225.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_94.jpg,badlands_52.jpg,right,bridge_182.jpg,golf_course_128.jpg,badlands_52.jpg,highway_25.jpg,highway_25.jpg,highway_25.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,right,0.0953,0,1,1,1,1,badlands_94.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_24.jpg,badlands_3.jpg,left,bridge_80.jpg,playground_172.jpg,badlands_24.jpg,highway_37.jpg,highway_37.jpg,highway_37.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.8045,0,2,2,2,1,badlands_3.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_293.jpg,mountain_293.jpg,mountain_47.jpg,left,mountain_293.jpg,badlands_130.jpg,bridge_49.jpg,golf_course_325.jpg,golf_course_325.jpg,golf_course_325.jpg,0,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,2.8977,0,3,3,3,1,mountain_47.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,highway_273.jpg,highway_273.jpg,highway_171.jpg,left,highway_273.jpg,bridge_230.jpg,playground_116.jpg,badlands_38.jpg,badlands_38.jpg,badlands_38.jpg,0,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,right,2.0984,0,4,4,4,1,highway_171.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_78.jpg,golf_course_134.jpg,left,mountain_233.jpg,bridge_120.jpg,golf_course_78.jpg,badlands_58.jpg,badlands_58.jpg,badlands_58.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.6504,0,5,5,5,1,golf_course_134.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_121.jpg,bridge_146.jpg,right,playground_178.jpg,badlands_30.jpg,bridge_146.jpg,golf_course_159.jpg,golf_course_159.jpg,golf_course_159.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.2558,0,6,6,6,1,bridge_121.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_368.jpg,highway_294.jpg,right,mountain_204.jpg,bridge_239.jpg,highway_294.jpg,golf_course_33.jpg,golf_course_33.jpg,golf_course_33.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,right,1.0234,0,7,7,7,1,highway_368.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,badlands_184.jpg,badlands_184.jpg,badlands_228.jpg,left,badlands_184.jpg,mountain_105.jpg,playground_108.jpg,golf_course_329.jpg,golf_course_329.jpg,golf_course_329.jpg,0,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.5831,0,8,8,8,1,badlands_228.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_60.jpg,playground_244.jpg,left,bridge_25.jpg,badlands_149.jpg,playground_60.jpg,highway_234.jpg,highway_234.jpg,highway_234.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,right,1.4532,0,9,9,9,1,playground_244.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_177.jpg,highway_87.jpg,left,highway_177.jpg,playground_200.jpg,golf_course_166.jpg,badlands_177.jpg,badlands_177.jpg,badlands_177.jpg,0,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.9598,0,10,10,10,1,highway_87.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,mountain_57.jpg,mountain_57.jpg,mountain_193.jpg,left,highway_149.jpg,mountain_57.jpg,badlands_64.jpg,playground_77.jpg,playground_77.jpg,playground_77.jpg,1,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.1256,0,11,11,11,1,mountain_193.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_38.jpg,bridge_202.jpg,right,golf_course_320.jpg,mountain_126.jpg,bridge_202.jpg,badlands_89.jpg,badlands_89.jpg,badlands_89.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,right,1.0934,0,12,12,12,1,bridge_38.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,badlands_137.jpg,badlands_137.jpg,badlands_194.jpg,left,badlands_137.jpg,mountain_132.jpg,bridge_2.jpg,golf_course_260.jpg,golf_course_260.jpg,golf_course_260.jpg,0,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,2.162,0,13,13,13,1,badlands_194.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_108.jpg,bridge_116.jpg,bridge_108.jpg,right,golf_course_204.jpg,bridge_108.jpg,playground_259.jpg,mountain_307.jpg,mountain_307.jpg,mountain_307.jpg,1,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.1379,0,14,14,14,1,bridge_116.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_35.jpg,golf_course_217.jpg,right,playground_42.jpg,golf_course_217.jpg,badlands_75.jpg,mountain_224.jpg,mountain_224.jpg,mountain_224.jpg,1,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.2956,0,15,15,15,1,golf_course_35.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_76.jpg,playground_72.jpg,playground_76.jpg,right,mountain_253.jpg,highway_219.jpg,playground_76.jpg,golf_course_156.jpg,golf_course_156.jpg,golf_course_156.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,right,0.8187,0,16,16,16,1,playground_72.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_193.jpg,golf_course_235.jpg,left,mountain_24.jpg,bridge_169.jpg,golf_course_193.jpg,playground_13.jpg,playground_13.jpg,playground_13.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,0.9282,0,17,17,17,1,golf_course_235.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_131.jpg,playground_164.jpg,playground_131.jpg,right,playground_131.jpg,golf_course_152.jpg,bridge_48.jpg,highway_13.jpg,highway_13.jpg,highway_13.jpg,0,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.3468,0,18,18,18,1,playground_164.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_205.jpg,playground_219.jpg,right,bridge_18.jpg,badlands_13.jpg,playground_219.jpg,highway_112.jpg,highway_112.jpg,highway_112.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.2141,0,19,19,19,1,playground_205.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_250.jpg,bridge_205.jpg,left,bridge_250.jpg,playground_30.jpg,golf_course_83.jpg,highway_398.jpg,highway_398.jpg,highway_398.jpg,0,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,0.5463,0,20,20,20,1,bridge_205.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_101.jpg,mountain_221.jpg,mountain_101.jpg,right,mountain_101.jpg,badlands_220.jpg,playground_90.jpg,highway_11.jpg,highway_11.jpg,highway_11.jpg,0,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.1779,0,21,21,21,1,mountain_221.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_156.jpg,mountain_156.jpg,mountain_295.jpg,left,highway_227.jpg,playground_103.jpg,mountain_156.jpg,badlands_216.jpg,badlands_216.jpg,badlands_216.jpg,2,A2BN8V3GYCUZA4,30,male,8,2023-07-18_20h29.19.997,working,2022.2.4,Win32,16.13137391,,,left,1.422,0,22,22,22,1,mountain_295.jpg,1,mountain,,,,,,,,,,,
