key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,7.7799,left,1.6761,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.0897,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.4022,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,badlands_113.jpg,badlands_113.jpg,badlands_203.jpg,left,badlands_113.jpg,golf_course_1.jpg,playground_30.jpg,bridge_19.jpg,bridge_19.jpg,bridge_19.jpg,0,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,space,1.9274,left,1.9,0,0,0,0,1,badlands_203.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_23.jpg,badlands_101.jpg,left,badlands_23.jpg,golf_course_128.jpg,bridge_182.jpg,mountain_212.jpg,mountain_212.jpg,mountain_212.jpg,0,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,left,1.6089,0,1,1,1,1,badlands_101.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,highway_156.jpg,highway_293.jpg,highway_156.jpg,right,mountain_12.jpg,highway_156.jpg,bridge_239.jpg,playground_191.jpg,playground_191.jpg,playground_191.jpg,1,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,right,1.8073,0,2,2,2,1,highway_293.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_82.jpg,bridge_91.jpg,right,golf_course_88.jpg,highway_325.jpg,bridge_91.jpg,badlands_30.jpg,badlands_30.jpg,badlands_30.jpg,2,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,right,2.8115,0,3,3,3,1,bridge_82.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_206.jpg,highway_245.jpg,right,golf_course_264.jpg,highway_245.jpg,playground_235.jpg,bridge_80.jpg,bridge_80.jpg,bridge_80.jpg,1,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,right,1.3637,0,4,4,4,1,highway_206.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,badlands_137.jpg,badlands_194.jpg,badlands_137.jpg,right,mountain_34.jpg,badlands_137.jpg,playground_183.jpg,highway_331.jpg,highway_331.jpg,highway_331.jpg,1,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,right,1.5815,0,5,5,5,1,badlands_194.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_15.jpg,golf_course_113.jpg,golf_course_15.jpg,right,highway_11.jpg,golf_course_15.jpg,playground_193.jpg,mountain_91.jpg,mountain_91.jpg,mountain_91.jpg,1,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,left,1.6158,0,6,6,6,1,golf_course_113.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_123.jpg,mountain_94.jpg,left,bridge_10.jpg,mountain_123.jpg,playground_36.jpg,highway_357.jpg,highway_357.jpg,highway_357.jpg,1,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,left,1.5185,0,7,7,7,1,mountain_94.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,playground_131.jpg,playground_131.jpg,playground_164.jpg,left,bridge_251.jpg,golf_course_319.jpg,playground_131.jpg,mountain_253.jpg,mountain_253.jpg,mountain_253.jpg,2,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,right,6.6818,0,8,8,8,1,playground_164.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_93.jpg,highway_93.jpg,highway_369.jpg,left,highway_93.jpg,playground_70.jpg,badlands_99.jpg,golf_course_173.jpg,golf_course_173.jpg,golf_course_173.jpg,0,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,right,1.4763,0,9,9,9,1,highway_369.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,mountain_232.jpg,mountain_54.jpg,mountain_232.jpg,right,mountain_232.jpg,bridge_120.jpg,golf_course_27.jpg,highway_336.jpg,highway_336.jpg,highway_336.jpg,0,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,right,1.9195,0,10,10,10,1,mountain_54.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_222.jpg,badlands_62.jpg,badlands_222.jpg,right,badlands_222.jpg,bridge_162.jpg,highway_144.jpg,golf_course_337.jpg,golf_course_337.jpg,golf_course_337.jpg,0,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,right,1.4174,0,11,11,11,1,badlands_62.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_38.jpg,bridge_202.jpg,right,badlands_166.jpg,bridge_202.jpg,golf_course_58.jpg,playground_172.jpg,playground_172.jpg,playground_172.jpg,1,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,right,10.2286,0,12,12,12,1,bridge_38.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_217.jpg,golf_course_262.jpg,left,bridge_204.jpg,badlands_108.jpg,golf_course_217.jpg,highway_263.jpg,highway_263.jpg,highway_263.jpg,2,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,left,1.5406,0,13,13,13,1,golf_course_262.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_223.jpg,left,golf_course_260.jpg,mountain_110.jpg,playground_7.jpg,highway_249.jpg,highway_249.jpg,highway_249.jpg,1,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,right,1.5426,0,14,14,14,1,mountain_223.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_257.jpg,playground_214.jpg,left,playground_257.jpg,bridge_25.jpg,highway_398.jpg,badlands_218.jpg,badlands_218.jpg,badlands_218.jpg,0,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,left,1.5786,0,15,15,15,1,playground_214.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_97.jpg,mountain_230.jpg,right,playground_41.jpg,mountain_230.jpg,highway_147.jpg,badlands_27.jpg,badlands_27.jpg,badlands_27.jpg,1,A2D009L2PJ6641,30,Female,7,2023-07-18_15h31.47.913,working,2022.2.4,Win32,16.26862758,,,left,1.7886,0,16,16,16,1,mountain_97.jpg,1,mountain,,,,,,,,,,,
