key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,4.6736,right,12.293,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.5716,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.0646,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mountain_293.jpg,mountain_47.jpg,mountain_293.jpg,right,mountain_293.jpg,playground_158.jpg,highway_159.jpg,bridge_251.jpg,bridge_251.jpg,bridge_251.jpg,0,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,space,3.8231,left,1.2367,0,0,0,0,1,mountain_47.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,playground_76.jpg,playground_22.jpg,playground_76.jpg,right,mountain_214.jpg,playground_76.jpg,highway_179.jpg,bridge_204.jpg,bridge_204.jpg,bridge_204.jpg,1,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,1.1737,0,1,1,1,1,playground_22.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,mountain_232.jpg,mountain_3.jpg,mountain_232.jpg,right,mountain_232.jpg,highway_99.jpg,golf_course_290.jpg,badlands_108.jpg,badlands_108.jpg,badlands_108.jpg,0,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,1.4756,0,2,2,2,1,mountain_3.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_113.jpg,badlands_225.jpg,badlands_113.jpg,right,badlands_113.jpg,golf_course_316.jpg,mountain_34.jpg,playground_181.jpg,playground_181.jpg,playground_181.jpg,0,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,left,0.7322,0,3,3,3,1,badlands_225.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_146.jpg,bridge_121.jpg,left,bridge_146.jpg,playground_108.jpg,golf_course_229.jpg,highway_146.jpg,highway_146.jpg,highway_146.jpg,0,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,left,1.3096,0,4,4,4,1,bridge_121.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_134.jpg,left,golf_course_204.jpg,highway_245.jpg,badlands_104.jpg,bridge_162.jpg,bridge_162.jpg,bridge_162.jpg,1,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,1.3659,0,5,5,5,1,highway_134.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,highway_273.jpg,highway_384.jpg,highway_273.jpg,right,golf_course_27.jpg,mountain_162.jpg,highway_273.jpg,playground_173.jpg,playground_173.jpg,playground_173.jpg,2,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,left,0.1886,0,6,6,6,1,highway_384.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,highway_359.jpg,highway_389.jpg,highway_359.jpg,right,highway_359.jpg,golf_course_337.jpg,badlands_99.jpg,mountain_280.jpg,mountain_280.jpg,mountain_280.jpg,0,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,0.7773,0,7,7,7,1,highway_389.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_223.jpg,left,playground_95.jpg,highway_18.jpg,mountain_110.jpg,golf_course_156.jpg,golf_course_156.jpg,golf_course_156.jpg,2,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,left,0.5989,0,8,8,8,1,mountain_223.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_144.jpg,playground_65.jpg,left,playground_144.jpg,mountain_104.jpg,golf_course_42.jpg,highway_261.jpg,highway_261.jpg,highway_261.jpg,0,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,0.8024,0,9,9,9,1,playground_65.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_97.jpg,mountain_230.jpg,right,highway_234.jpg,bridge_26.jpg,mountain_230.jpg,badlands_2.jpg,badlands_2.jpg,badlands_2.jpg,2,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,left,1.1462,0,10,10,10,1,mountain_97.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_219.jpg,playground_205.jpg,left,highway_147.jpg,playground_219.jpg,bridge_132.jpg,badlands_35.jpg,badlands_35.jpg,badlands_35.jpg,1,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,0.2018,0,11,11,11,1,playground_205.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,bridge_65.jpg,bridge_60.jpg,bridge_65.jpg,right,highway_112.jpg,playground_5.jpg,bridge_65.jpg,mountain_84.jpg,mountain_84.jpg,mountain_84.jpg,2,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,left,1.4696,0,12,12,12,1,bridge_60.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_134.jpg,bridge_250.jpg,right,badlands_143.jpg,bridge_250.jpg,playground_183.jpg,mountain_126.jpg,mountain_126.jpg,mountain_126.jpg,1,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,0.8858,0,13,13,13,1,bridge_134.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_131.jpg,mountain_154.jpg,right,playground_124.jpg,highway_37.jpg,mountain_154.jpg,golf_course_60.jpg,golf_course_60.jpg,golf_course_60.jpg,2,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,left,1.2424,0,14,14,14,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_101.jpg,mountain_101.jpg,mountain_171.jpg,left,mountain_101.jpg,bridge_49.jpg,highway_144.jpg,badlands_166.jpg,badlands_166.jpg,badlands_166.jpg,0,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,1.4039,0,15,15,15,1,mountain_171.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_222.jpg,badlands_62.jpg,badlands_222.jpg,right,bridge_259.jpg,badlands_222.jpg,playground_103.jpg,highway_249.jpg,highway_249.jpg,highway_249.jpg,1,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,left,2.229,0,16,16,16,1,badlands_62.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_209.jpg,golf_course_309.jpg,right,playground_116.jpg,mountain_21.jpg,golf_course_309.jpg,badlands_186.jpg,badlands_186.jpg,badlands_186.jpg,2,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,1.3375,0,17,17,17,1,golf_course_209.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,highway_93.jpg,highway_93.jpg,highway_369.jpg,left,mountain_12.jpg,highway_93.jpg,bridge_206.jpg,golf_course_258.jpg,golf_course_258.jpg,golf_course_258.jpg,1,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,left,3.5689,0,18,18,18,1,highway_369.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_52.jpg,badlands_94.jpg,left,playground_13.jpg,badlands_52.jpg,mountain_15.jpg,golf_course_223.jpg,golf_course_223.jpg,golf_course_223.jpg,1,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,2.5064,0,19,19,19,1,badlands_94.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_184.jpg,badlands_103.jpg,badlands_184.jpg,right,golf_course_159.jpg,badlands_184.jpg,mountain_301.jpg,highway_263.jpg,highway_263.jpg,highway_263.jpg,1,A3ODFN4ZBNQ69K,30,MALE,8,2023-07-18_17h03.25.752,working,2022.2.4,Win32,16.12929241,,,right,1.6471,0,20,20,20,1,badlands_103.jpg,1,badlands,,,,,,,,,,,
