key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,144.047,right,30.5876,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,,,,,,,,,,,,,,,,,,,,,
,,,left,3.0423,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,,,,,,,,,,,,,,,,,,,,,
,,,left,3.2317,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_23.jpg,badlands_114.jpg,left,highway_248.jpg,mountain_84.jpg,badlands_23.jpg,bridge_26.jpg,bridge_26.jpg,bridge_26.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,space,3.215,left,1.9095,0,0,0,0,1,badlands_114.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_222.jpg,mountain_244.jpg,mountain_222.jpg,right,bridge_264.jpg,playground_66.jpg,mountain_222.jpg,highway_11.jpg,highway_11.jpg,highway_11.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,right,1.6374,0,1,1,1,1,mountain_244.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_221.jpg,badlands_221.jpg,badlands_115.jpg,left,badlands_221.jpg,mountain_66.jpg,playground_172.jpg,highway_227.jpg,highway_227.jpg,highway_227.jpg,0,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,right,3.65,0,2,2,2,1,badlands_115.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_52.jpg,badlands_94.jpg,left,bridge_218.jpg,highway_146.jpg,badlands_52.jpg,mountain_68.jpg,mountain_68.jpg,mountain_68.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,left,1.6623,0,3,3,3,1,badlands_94.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_35.jpg,golf_course_217.jpg,right,badlands_104.jpg,mountain_301.jpg,golf_course_217.jpg,highway_234.jpg,highway_234.jpg,highway_234.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,left,5.1066,0,4,4,4,1,golf_course_35.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,bridge_191.jpg,bridge_191.jpg,bridge_75.jpg,left,playground_168.jpg,bridge_191.jpg,highway_219.jpg,golf_course_46.jpg,golf_course_46.jpg,golf_course_46.jpg,1,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,left,3.1239,0,5,5,5,1,bridge_75.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_144.jpg,playground_137.jpg,left,bridge_10.jpg,playground_144.jpg,mountain_12.jpg,badlands_59.jpg,badlands_59.jpg,badlands_59.jpg,1,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,right,6.8235,0,6,6,6,1,playground_137.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_195.jpg,golf_course_25.jpg,golf_course_195.jpg,right,golf_course_195.jpg,mountain_161.jpg,badlands_216.jpg,bridge_9.jpg,bridge_9.jpg,bridge_9.jpg,0,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,right,1.9468,0,7,7,7,1,golf_course_25.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_235.jpg,golf_course_193.jpg,right,playground_80.jpg,highway_12.jpg,golf_course_193.jpg,badlands_35.jpg,badlands_35.jpg,badlands_35.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,left,2.3538,0,8,8,8,1,golf_course_235.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_76.jpg,playground_22.jpg,playground_76.jpg,right,bridge_230.jpg,badlands_64.jpg,playground_76.jpg,mountain_235.jpg,mountain_235.jpg,mountain_235.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,left,2.9811,0,9,9,9,1,playground_22.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,mountain_57.jpg,mountain_57.jpg,mountain_138.jpg,left,playground_108.jpg,badlands_193.jpg,mountain_57.jpg,highway_147.jpg,highway_147.jpg,highway_147.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,left,2.5268,0,10,10,10,1,mountain_138.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_123.jpg,mountain_189.jpg,left,playground_7.jpg,bridge_19.jpg,mountain_123.jpg,golf_course_88.jpg,golf_course_88.jpg,golf_course_88.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,right,4.1675,0,11,11,11,1,mountain_189.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_70.jpg,badlands_70.jpg,badlands_119.jpg,left,playground_52.jpg,highway_336.jpg,badlands_70.jpg,bridge_80.jpg,bridge_80.jpg,bridge_80.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,left,1.6503,0,12,12,12,1,badlands_119.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,highway_415.jpg,highway_415.jpg,highway_60.jpg,left,highway_415.jpg,bridge_257.jpg,badlands_100.jpg,playground_259.jpg,playground_259.jpg,playground_259.jpg,0,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,left,3.5087,0,13,13,13,1,highway_60.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_209.jpg,golf_course_309.jpg,right,badlands_142.jpg,golf_course_309.jpg,mountain_204.jpg,highway_117.jpg,highway_117.jpg,highway_117.jpg,1,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,right,2.4419,0,14,14,14,1,golf_course_209.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_250.jpg,bridge_205.jpg,left,mountain_26.jpg,golf_course_223.jpg,bridge_250.jpg,badlands_31.jpg,badlands_31.jpg,badlands_31.jpg,2,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,right,1.4666,0,15,15,15,1,bridge_205.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_359.jpg,highway_389.jpg,highway_359.jpg,right,highway_359.jpg,playground_30.jpg,bridge_158.jpg,badlands_153.jpg,badlands_153.jpg,badlands_153.jpg,0,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,right,1.9731,0,16,16,16,1,highway_389.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_31.jpg,bridge_202.jpg,right,bridge_202.jpg,playground_95.jpg,mountain_111.jpg,badlands_226.jpg,badlands_226.jpg,badlands_226.jpg,0,A78BH291QSZ22,63,male,6,2023-07-18_15h36.35.836,working,2022.2.4,Win32,5.376517522,,,right,1.6944,0,17,17,17,1,bridge_31.jpg,0,bridge,,,,,,,,,,,
