key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,2.6851,left,3.0661,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,AICGHPPLV9D35,25,Female,8,2023-07-17_17h56.36.197,working,2022.2.4,Win32,5.298967761,,,,,,,,,,,,,,,,,,,,,,,
,,,right,3.5878,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,AICGHPPLV9D35,25,Female,8,2023-07-17_17h56.36.197,working,2022.2.4,Win32,5.298967761,,,,,,,,,,,,,,,,,,,,,,,
,,,left,0.0202,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,AICGHPPLV9D35,25,Female,8,2023-07-17_17h56.36.197,working,2022.2.4,Win32,5.298967761,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_217.jpg,golf_course_35.jpg,left,badlands_104.jpg,bridge_10.jpg,golf_course_217.jpg,highway_333.jpg,highway_333.jpg,highway_333.jpg,2,AICGHPPLV9D35,25,Female,8,2023-07-17_17h56.36.197,working,2022.2.4,Win32,5.298967761,space,349.8129,right,2.5995,0,0,0,0,1,golf_course_35.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_17.jpg,bridge_172.jpg,right,mountain_307.jpg,playground_25.jpg,bridge_172.jpg,badlands_54.jpg,badlands_54.jpg,badlands_54.jpg,2,AICGHPPLV9D35,25,Female,8,2023-07-17_17h56.36.197,working,2022.2.4,Win32,5.298967761,,,right,1.4829,0,1,1,1,1,bridge_17.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,badlands_222.jpg,badlands_222.jpg,badlands_62.jpg,left,highway_112.jpg,badlands_222.jpg,bridge_230.jpg,playground_95.jpg,playground_95.jpg,playground_95.jpg,1,AICGHPPLV9D35,25,Female,8,2023-07-17_17h56.36.197,working,2022.2.4,Win32,5.298967761,,,left,2.1353,0,2,2,2,1,badlands_62.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_121.jpg,bridge_146.jpg,right,playground_36.jpg,bridge_146.jpg,mountain_280.jpg,highway_219.jpg,highway_219.jpg,highway_219.jpg,1,AICGHPPLV9D35,25,Female,8,2023-07-17_17h56.36.197,working,2022.2.4,Win32,5.298967761,,,right,2.4247,0,3,3,3,1,bridge_121.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_65.jpg,playground_144.jpg,right,mountain_15.jpg,bridge_52.jpg,playground_144.jpg,highway_248.jpg,highway_248.jpg,highway_248.jpg,2,AICGHPPLV9D35,25,Female,8,2023-07-17_17h56.36.197,working,2022.2.4,Win32,5.298967761,,,right,1.8878,0,4,4,4,1,playground_65.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_177.jpg,highway_278.jpg,left,playground_42.jpg,highway_177.jpg,badlands_13.jpg,bridge_47.jpg,bridge_47.jpg,bridge_47.jpg,1,AICGHPPLV9D35,25,Female,8,2023-07-17_17h56.36.197,working,2022.2.4,Win32,5.298967761,,,right,1.6237,0,5,5,5,1,highway_278.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_154.jpg,mountain_131.jpg,left,mountain_154.jpg,badlands_30.jpg,bridge_64.jpg,golf_course_159.jpg,golf_course_159.jpg,golf_course_159.jpg,0,AICGHPPLV9D35,25,Female,8,2023-07-17_17h56.36.197,working,2022.2.4,Win32,5.298967761,,,left,2.2841,0,6,6,6,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
