key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,87.992,right,2.5546,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.7844,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.9784,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,badlands_184.jpg,badlands_184.jpg,badlands_228.jpg,left,playground_95.jpg,badlands_184.jpg,bridge_47.jpg,mountain_84.jpg,mountain_84.jpg,mountain_84.jpg,1,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,space,3.4831,right,3.7049,0,0,0,0,1,badlands_228.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_230.jpg,mountain_184.jpg,left,playground_173.jpg,bridge_120.jpg,mountain_230.jpg,golf_course_88.jpg,golf_course_88.jpg,golf_course_88.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,3.9505,0,1,1,1,1,mountain_184.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_101.jpg,mountain_221.jpg,mountain_101.jpg,right,badlands_143.jpg,playground_249.jpg,mountain_101.jpg,golf_course_33.jpg,golf_course_33.jpg,golf_course_33.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,2.8209,0,2,2,2,1,mountain_221.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_113.jpg,badlands_113.jpg,badlands_203.jpg,left,badlands_113.jpg,bridge_48.jpg,mountain_280.jpg,playground_241.jpg,playground_241.jpg,playground_241.jpg,0,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,1.8052,0,3,3,3,1,badlands_203.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_70.jpg,badlands_70.jpg,badlands_102.jpg,left,mountain_71.jpg,bridge_106.jpg,badlands_70.jpg,golf_course_83.jpg,golf_course_83.jpg,golf_course_83.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,2.0188,0,4,4,4,1,badlands_102.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_91.jpg,bridge_253.jpg,left,highway_25.jpg,golf_course_204.jpg,bridge_91.jpg,mountain_126.jpg,mountain_126.jpg,mountain_126.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,3.4119,0,5,5,5,1,bridge_253.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_122.jpg,playground_10.jpg,right,playground_10.jpg,mountain_233.jpg,bridge_158.jpg,golf_course_42.jpg,golf_course_42.jpg,golf_course_42.jpg,0,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,3.5456,0,6,6,6,1,playground_122.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_123.jpg,golf_course_193.jpg,right,bridge_263.jpg,mountain_179.jpg,golf_course_193.jpg,highway_331.jpg,highway_331.jpg,highway_331.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,1.631,0,7,7,7,1,golf_course_123.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,highway_273.jpg,highway_171.jpg,highway_273.jpg,right,playground_235.jpg,highway_273.jpg,mountain_204.jpg,golf_course_321.jpg,golf_course_321.jpg,golf_course_321.jpg,1,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,3.0687,0,8,8,8,1,highway_171.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,bridge_128.jpg,bridge_128.jpg,bridge_244.jpg,left,mountain_21.jpg,badlands_149.jpg,bridge_128.jpg,golf_course_325.jpg,golf_course_325.jpg,golf_course_325.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,2.5773,0,9,9,9,1,bridge_244.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_191.jpg,bridge_191.jpg,bridge_184.jpg,left,playground_209.jpg,highway_75.jpg,bridge_191.jpg,badlands_180.jpg,badlands_180.jpg,badlands_180.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,5.6757,0,10,10,10,1,bridge_184.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_223.jpg,left,highway_18.jpg,mountain_110.jpg,bridge_78.jpg,playground_172.jpg,playground_172.jpg,playground_172.jpg,1,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,4.301,0,11,11,11,1,mountain_223.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_222.jpg,badlands_222.jpg,badlands_62.jpg,left,badlands_222.jpg,golf_course_264.jpg,mountain_235.jpg,playground_80.jpg,playground_80.jpg,playground_80.jpg,0,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,1.5159,0,12,12,12,1,badlands_62.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_232.jpg,mountain_3.jpg,mountain_232.jpg,right,mountain_232.jpg,bridge_162.jpg,golf_course_159.jpg,playground_103.jpg,playground_103.jpg,playground_103.jpg,0,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,2.0076,0,13,13,13,1,mountain_3.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_195.jpg,golf_course_195.jpg,golf_course_2.jpg,left,bridge_238.jpg,golf_course_195.jpg,playground_90.jpg,badlands_13.jpg,badlands_13.jpg,badlands_13.jpg,1,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,3.5003,0,14,14,14,1,golf_course_2.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_17.jpg,bridge_172.jpg,right,bridge_172.jpg,mountain_34.jpg,badlands_173.jpg,highway_13.jpg,highway_13.jpg,highway_13.jpg,0,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,3.5281,0,15,15,15,1,bridge_17.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_206.jpg,left,highway_245.jpg,mountain_4.jpg,bridge_251.jpg,playground_30.jpg,playground_30.jpg,playground_30.jpg,0,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,1.8765,0,16,16,16,1,highway_206.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_137.jpg,playground_144.jpg,right,mountain_104.jpg,badlands_108.jpg,playground_144.jpg,bridge_239.jpg,bridge_239.jpg,bridge_239.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,2.2421,0,17,17,17,1,playground_137.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_146.jpg,bridge_121.jpg,left,highway_144.jpg,bridge_146.jpg,playground_6.jpg,golf_course_329.jpg,golf_course_329.jpg,golf_course_329.jpg,1,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,2.2662,0,18,18,18,1,bridge_121.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_415.jpg,highway_415.jpg,highway_60.jpg,left,golf_course_316.jpg,highway_415.jpg,bridge_130.jpg,mountain_202.jpg,mountain_202.jpg,mountain_202.jpg,1,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,2.635,0,19,19,19,1,highway_60.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_53.jpg,badlands_24.jpg,right,badlands_24.jpg,bridge_64.jpg,mountain_24.jpg,golf_course_337.jpg,golf_course_337.jpg,golf_course_337.jpg,0,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,2.5754,0,20,20,20,1,badlands_53.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_94.jpg,badlands_52.jpg,right,playground_264.jpg,badlands_52.jpg,mountain_68.jpg,golf_course_320.jpg,golf_course_320.jpg,golf_course_320.jpg,1,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,1.8031,0,21,21,21,1,badlands_94.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_250.jpg,bridge_205.jpg,left,golf_course_156.jpg,badlands_95.jpg,bridge_250.jpg,playground_183.jpg,playground_183.jpg,playground_183.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,21.7939,0,22,22,22,1,bridge_205.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_214.jpg,golf_course_214.jpg,golf_course_317.jpg,left,golf_course_214.jpg,playground_108.jpg,highway_357.jpg,badlands_75.jpg,badlands_75.jpg,badlands_75.jpg,0,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,4.7195,0,23,23,23,1,golf_course_317.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,badlands_221.jpg,badlands_221.jpg,badlands_207.jpg,left,badlands_221.jpg,mountain_161.jpg,playground_181.jpg,highway_117.jpg,highway_117.jpg,highway_117.jpg,0,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,59.9558,0,24,24,24,1,badlands_207.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_294.jpg,highway_368.jpg,left,golf_course_52.jpg,highway_294.jpg,playground_124.jpg,bridge_132.jpg,bridge_132.jpg,bridge_132.jpg,1,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,5.219,0,25,25,25,1,highway_368.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_117.jpg,playground_167.jpg,left,golf_course_1.jpg,highway_114.jpg,playground_117.jpg,mountain_111.jpg,mountain_111.jpg,mountain_111.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,0.1588,0,26,26,26,1,playground_167.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_101.jpg,badlands_23.jpg,right,bridge_179.jpg,badlands_23.jpg,playground_7.jpg,mountain_66.jpg,mountain_66.jpg,mountain_66.jpg,1,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,right,1.3718,0,27,27,27,1,badlands_101.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_188.jpg,golf_course_188.jpg,golf_course_157.jpg,left,golf_course_188.jpg,badlands_30.jpg,highway_196.jpg,playground_3.jpg,playground_3.jpg,playground_3.jpg,0,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,1.3842,0,28,28,28,1,golf_course_157.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_145.jpg,playground_229.jpg,playground_145.jpg,right,bridge_124.jpg,highway_166.jpg,playground_145.jpg,badlands_27.jpg,badlands_27.jpg,badlands_27.jpg,2,AOGUVIIJIXYO3,26,male,8,2023-07-18_17h38.43.558,working,2022.2.4,Win32,22.03419707,,,left,4.9355,0,29,29,29,1,playground_229.jpg,0,playground,,,,,,,,,,,
