key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,56.532,right,13.124,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,AS0IF86V7OZOI,59,male,8,2023-07-18_15h18.23.735,working,2022.2.4,Win32,3.2,,,,,,,,,,,,,,,,,,,,,,,
,,,left,6.84,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,AS0IF86V7OZOI,59,male,8,2023-07-18_15h18.23.735,working,2022.2.4,Win32,3.2,,,,,,,,,,,,,,,,,,,,,,,
,,,right,5.628,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,AS0IF86V7OZOI,59,male,8,2023-07-18_15h18.23.735,working,2022.2.4,Win32,3.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_53.jpg,badlands_24.jpg,right,badlands_24.jpg,highway_402.jpg,golf_course_52.jpg,playground_54.jpg,playground_54.jpg,playground_54.jpg,0,AS0IF86V7OZOI,59,male,8,2023-07-18_15h18.23.735,working,2022.2.4,Win32,3.2,space,16.551,left,5.955,0,0,0,0,1,badlands_53.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_16.jpg,golf_course_309.jpg,right,bridge_80.jpg,badlands_152.jpg,golf_course_309.jpg,highway_112.jpg,highway_112.jpg,highway_112.jpg,2,AS0IF86V7OZOI,59,male,8,2023-07-18_15h18.23.735,working,2022.2.4,Win32,3.2,,,left,55.289,0,1,1,1,1,golf_course_16.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,highway_93.jpg,highway_369.jpg,highway_93.jpg,right,mountain_233.jpg,highway_93.jpg,playground_42.jpg,badlands_59.jpg,badlands_59.jpg,badlands_59.jpg,1,AS0IF86V7OZOI,59,male,8,2023-07-18_15h18.23.735,working,2022.2.4,Win32,3.2,,,right,2.834,0,2,2,2,1,highway_369.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_250.jpg,bridge_134.jpg,left,golf_course_302.jpg,highway_13.jpg,bridge_250.jpg,playground_178.jpg,playground_178.jpg,playground_178.jpg,2,AS0IF86V7OZOI,59,male,8,2023-07-18_15h18.23.735,working,2022.2.4,Win32,3.2,,,left,2.736,0,3,3,3,1,bridge_134.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_35.jpg,golf_course_217.jpg,right,golf_course_217.jpg,badlands_142.jpg,bridge_257.jpg,playground_108.jpg,playground_108.jpg,playground_108.jpg,0,AS0IF86V7OZOI,59,male,8,2023-07-18_15h18.23.735,working,2022.2.4,Win32,3.2,,,left,5.798,0,4,4,4,1,golf_course_35.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,bridge_108.jpg,bridge_116.jpg,bridge_108.jpg,right,mountain_162.jpg,golf_course_166.jpg,bridge_108.jpg,playground_158.jpg,playground_158.jpg,playground_158.jpg,2,AS0IF86V7OZOI,59,male,8,2023-07-18_15h18.23.735,working,2022.2.4,Win32,3.2,,,right,4.425,0,5,5,5,1,bridge_116.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_87.jpg,golf_course_87.jpg,golf_course_130.jpg,left,mountain_24.jpg,badlands_99.jpg,golf_course_87.jpg,highway_12.jpg,highway_12.jpg,highway_12.jpg,2,AS0IF86V7OZOI,59,male,8,2023-07-18_15h18.23.735,working,2022.2.4,Win32,3.2,,,left,3.246,0,6,6,6,1,golf_course_130.jpg,0,golf,,,,,,,,,,,
