target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,target_index,background_4,background_5
playground_145.jpg,playground_242.jpg,1,playground_145.jpg,playground_242.jpg,left,playground,bridge_238.jpg,playground_145.jpg,mountain_212.jpg,badlands_186.jpg,1,badlands_186.jpg,badlands_186.jpg
bridge_108.jpg,bridge_116.jpg,0,bridge_108.jpg,bridge_116.jpg,left,bridge,highway_11.jpg,bridge_108.jpg,playground_124.jpg,mountain_224.jpg,1,mountain_224.jpg,mountain_224.jpg
golf_course_331.jpg,golf_course_26.jpg,1,golf_course_26.jpg,golf_course_331.jpg,right,golf,bridge_257.jpg,mountain_214.jpg,golf_course_331.jpg,badlands_216.jpg,2,badlands_216.jpg,badlands_216.jpg
highway_273.jpg,highway_171.jpg,1,highway_273.jpg,highway_171.jpg,left,highway,playground_193.jpg,badlands_130.jpg,highway_273.jpg,golf_course_223.jpg,2,golf_course_223.jpg,golf_course_223.jpg
mountain_110.jpg,mountain_157.jpg,0,mountain_157.jpg,mountain_110.jpg,right,mountain,bridge_80.jpg,badlands_27.jpg,mountain_110.jpg,playground_30.jpg,2,playground_30.jpg,playground_30.jpg
playground_144.jpg,playground_65.jpg,1,playground_144.jpg,playground_65.jpg,left,playground,mountain_202.jpg,golf_course_198.jpg,playground_144.jpg,highway_301.jpg,2,highway_301.jpg,highway_301.jpg
mountain_123.jpg,mountain_94.jpg,0,mountain_123.jpg,mountain_94.jpg,left,mountain,mountain_123.jpg,highway_149.jpg,playground_259.jpg,badlands_30.jpg,0,badlands_30.jpg,badlands_30.jpg
playground_76.jpg,playground_22.jpg,0,playground_22.jpg,playground_76.jpg,right,playground,bridge_18.jpg,playground_76.jpg,badlands_149.jpg,highway_325.jpg,1,highway_325.jpg,highway_325.jpg
badlands_184.jpg,badlands_228.jpg,0,badlands_228.jpg,badlands_184.jpg,right,badlands,golf_course_229.jpg,badlands_184.jpg,bridge_120.jpg,mountain_34.jpg,1,mountain_34.jpg,mountain_34.jpg
highway_394.jpg,highway_406.jpg,1,highway_394.jpg,highway_406.jpg,left,highway,highway_394.jpg,playground_264.jpg,mountain_292.jpg,golf_course_27.jpg,0,golf_course_27.jpg,golf_course_27.jpg
bridge_146.jpg,bridge_27.jpg,0,bridge_27.jpg,bridge_146.jpg,right,bridge,bridge_146.jpg,playground_168.jpg,highway_319.jpg,badlands_200.jpg,0,badlands_200.jpg,badlands_200.jpg
badlands_23.jpg,badlands_101.jpg,1,badlands_101.jpg,badlands_23.jpg,right,badlands,bridge_259.jpg,badlands_23.jpg,highway_227.jpg,playground_191.jpg,1,playground_191.jpg,playground_191.jpg
badlands_21.jpg,badlands_98.jpg,1,badlands_21.jpg,badlands_98.jpg,left,badlands,golf_course_33.jpg,bridge_179.jpg,badlands_21.jpg,highway_357.jpg,2,highway_357.jpg,highway_357.jpg
badlands_70.jpg,badlands_119.jpg,1,badlands_70.jpg,badlands_119.jpg,left,badlands,mountain_160.jpg,badlands_70.jpg,playground_158.jpg,highway_166.jpg,1,highway_166.jpg,highway_166.jpg
